stem,race_id,距離,馬場種別,馬場,天候,頭数,レース名,等級
2025-02-09_東京11R_東京新聞杯,202505010411,1600,芝,良,晴,16,東京新聞杯,
2025-02-09_東京12R_4歳以上1勝クラス,202505010412,1600,ダ,良,晴,16,4歳以上1勝クラス,
2025-02-10_京都09R_橿原S,202508010309,1200,ダ,良,晴,13,橿原S,
2025-02-10_京都10R_エルフィンS,202508010310,1600,芝,良,晴,10,エルフィンS,
2025-02-10_京都11R_アルデバランS,202508010311,1900,ダ,良,晴,16,アルデバランS,
2025-02-10_京都12R_4歳以上1勝クラス,202508010312,1200,ダ,良,晴,16,4歳以上1勝クラス,
2025-02-15_京都09R_こぶし賞,202508010509,1600,芝,良,晴,7,こぶし賞,
2025-02-15_京都10R_飛鳥S,202508010510,2000,芝,良,晴,9,飛鳥S,
2025-02-15_京都11R_洛陽S,202508010511,1600,芝,良,晴,16,洛陽S,
2025-02-15_京都12R_4歳以上2勝クラス,202508010512,1900,ダ,良,晴,13,4歳以上2勝クラス,
2025-02-15_小倉09R_あすなろ賞,202510010709,2000,芝,良,曇,9,あすなろ賞,
2025-02-15_小倉10R_太宰府特別,202510010710,2000,芝,良,曇,15,太宰府特別,
2025-02-15_小倉11R_下関S,202510010711,1200,芝,良,曇,18,下関S,
2025-02-15_小倉12R_4歳以上1勝クラス,202510010712,1700,ダ,良,曇,12,4歳以上1勝クラス,
2025-02-15_東京09R_箱根特別,202505010509,2400,芝,良,晴,11,箱根特別,
2025-02-15_東京10R_銀蹄S,202505010510,1400,ダ,良,晴,16,銀蹄S,
2025-02-15_東京11R_クイーンC,202505010511,1600,芝,良,晴,14,クイーンC,
2025-02-15_東京12R_4歳以上1勝クラス,202505010512,1600,芝,良,晴,16,4歳以上1勝クラス,
2025-02-16_京都09R_春日特別,202508010609,2000,芝,稍,曇,9,春日特別,
2025-02-16_京都10R_北山S,202508010610,1800,ダ,稍,曇,13,北山S,
2025-02-16_京都11R_京都記念,202508010611,2200,芝,稍,曇,12,京都記念,
2025-02-16_京都12R_4歳以上2勝クラス,202508010612,1200,ダ,稍,曇,16,4歳以上2勝クラス,
2025-02-16_小倉09R_大濠特別,202510010809,1200,芝,良,晴,18,大濠特別,
2025-02-16_小倉10R_伊万里特別,202510010810,1000,ダ,良,晴,14,伊万里特別,
2025-02-16_小倉11R_北九州短距離S,202510010811,1200,芝,良,晴,15,北九州短距離S,
2025-02-16_小倉12R_4歳以上1勝クラス,202510010812,1800,芝,良,晴,15,4歳以上1勝クラス,
2025-02-16_東京09R_雲雀S,202505010609,1600,芝,良,曇,16,雲雀S,
2025-02-16_東京10R_バレンタインS,202505010610,1400,ダ,良,曇,16,バレンタインS,
2025-02-16_東京11R_共同通信杯,202505010611,1800,芝,良,曇,9,共同通信杯,
2025-02-16_東京12R_4歳以上2勝クラス,202505010612,1400,ダ,良,曇,15,4歳以上2勝クラス,
2025-02-22_京都09R_つばき賞,202508010709,1800,芝,良,曇,8,つばき賞,
2025-02-22_京都10R_河原町S,202508010710,1400,ダ,良,曇,16,河原町S,
2025-02-22_京都11R_阪急杯,202508010711,1400,芝,良,曇,18,阪急杯,
2025-02-22_京都12R_4歳以上2勝クラス,202508010712,1800,ダ,良,晴,14,4歳以上2勝クラス,
2025-02-22_小倉09R_秋吉台特別,202510010909,1200,芝,良,晴,18,秋吉台特別,
2025-02-22_小倉10R_皿倉山特別,202510010910,2600,芝,良,晴,13,皿倉山特別,
2025-02-22_小倉11R_小倉城S,202510010911,1700,ダ,良,晴,9,小倉城S,
2025-02-22_小倉12R_4歳以上1勝クラス,202510010912,2000,芝,良,晴,16,4歳以上1勝クラス,
2025-02-22_東京09R_フリージア賞,202505010709,2000,芝,良,曇,9,フリージア賞,
2025-02-22_東京10R_金蹄S,202505010710,2100,ダ,良,晴,12,金蹄S,
2025-02-22_東京11R_ダイヤモンドS,202505010711,3400,芝,良,晴,16,ダイヤモンドS,
2025-02-22_東京12R_4歳以上1勝クラス,202505010712,1600,ダ,良,晴,16,4歳以上1勝クラス,
2025-02-23_京都09R_山城S,202508010809,1400,芝,良,曇,9,山城S,
2025-02-23_京都10R_マーガレットS,202508010810,1200,芝,良,曇,8,マーガレットS,
2025-02-23_京都11R_大和S,202508010811,1200,ダ,良,曇,16,大和S,
2025-02-23_京都12R_4歳以上2勝クラス,202508010812,1400,ダ,良,曇,12,4歳以上2勝クラス,
