騎手,粒度,条件,n,勝利数,複勝内数,勝率,複勝率,単勝回収率,信頼できる母数
丹内,場,札幌,71,5,23,0.0704,0.3239,0.4493,False
団野,場,中京,123,7,26,0.0569,0.2114,0.4488,False
Mデム,距離帯,短距離(~1400),55,2,12,0.0364,0.2182,0.4455,False
泉谷,枠番,外枠(7-8),18,1,4,0.0556,0.2222,0.4444,False
坂井,場×距離帯×馬場,阪神/芝/長距離(2201~),9,1,6,0.1111,0.6667,0.4444,False
坂井,場×距離帯×馬場,中京/芝/短距離(~1400),14,1,4,0.0714,0.2857,0.4429,False
西村淳,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),7,1,3,0.1429,0.4286,0.4429,False
川田,場×距離帯×馬場,中京/芝/短距離(~1400),12,3,6,0.25,0.5,0.4417,False
石川,脚質,追込,12,1,2,0.0833,0.1667,0.4417,False
和田陽,枠番,内枠(1-2),12,1,2,0.0833,0.1667,0.4417,False
酒井,脚質×距離帯,先行/短距離(~1400),41,2,7,0.0488,0.1707,0.4415,False
坂井,脚質×距離帯,逃げ/マイル(1401-1800),5,1,1,0.2,0.2,0.44,False
高杉,場×距離帯×馬場,小倉/芝/マイル(1401-1800),5,1,2,0.2,0.4,0.44,False
吉田豊,脚質×距離帯,差し/短距離(~1400),49,1,2,0.0204,0.0408,0.4388,False
岩田望,場×距離帯×馬場,東京/芝/マイル(1401-1800),16,1,4,0.0625,0.25,0.4375,False
内田博,枠番,内枠(1-2),54,3,10,0.0556,0.1852,0.437,False
長岡,脚質,差し,96,3,14,0.0312,0.1458,0.4365,False
岩田望,場×距離帯×馬場,阪神/芝/長距離(2201~),11,2,5,0.1818,0.4545,0.4364,False
鮫島駿,脚質×距離帯,差し/短距離(~1400),94,9,26,0.0957,0.2766,0.4362,False
長岡,場,小倉,36,1,3,0.0278,0.0833,0.4361,False
戸崎圭,脚質×距離帯,差し/短距離(~1400),67,6,24,0.0896,0.3582,0.4343,False
岩田康,脚質,先行,86,6,18,0.0698,0.2093,0.4337,False
荻野琢,場,札幌,18,1,1,0.0556,0.0556,0.4333,False
坂井,脚質×距離帯,先行/長距離(2201~),15,3,9,0.2,0.6,0.4333,False
津村,場×距離帯×馬場,福島/芝/中距離(1801-2200),9,1,1,0.1111,0.1111,0.4333,False
木幡巧,脚質×距離帯,差し/長距離(2201~),6,1,1,0.1667,0.1667,0.4333,False
北村宏,枠番,中枠(3-6),73,4,18,0.0548,0.2466,0.4315,False
松若,場×距離帯×馬場,小倉/芝/短距離(~1400),26,1,5,0.0385,0.1923,0.4308,False
菱田,場,札幌,13,1,3,0.0769,0.2308,0.4308,False
藤岡佑,距離帯,長距離(2201~),23,3,8,0.1304,0.3478,0.4304,False
川田,脚質×距離帯,差し/長距離(2201~),17,3,8,0.1765,0.4706,0.4294,False
団野,場×距離帯×馬場,阪神/芝/短距離(~1400),17,1,8,0.0588,0.4706,0.4294,False
幸,距離帯,マイル(1401-1800),136,9,26,0.0662,0.1912,0.4287,False
団野,場×距離帯×馬場,京都/ダ/マイル(1401-1800),14,1,5,0.0714,0.3571,0.4286,False
小林美,場×距離帯×馬場,新潟/芝/短距離(~1400),7,1,1,0.1429,0.1429,0.4286,False
横山典,場×距離帯×馬場,札幌/ダ/マイル(1401-1800),7,1,2,0.1429,0.2857,0.4286,False
嶋田,脚質×距離帯,差し/短距離(~1400),39,2,9,0.0513,0.2308,0.4282,False
角田和,場×距離帯×馬場,小倉/芝/短距離(~1400),22,1,1,0.0455,0.0455,0.4273,False
丸田,枠番,中枠(3-6),89,2,8,0.0225,0.0899,0.427,False
池添,距離帯,長距離(2201~),26,2,5,0.0769,0.1923,0.4269,False
古川吉,脚質×距離帯,差し/マイル(1401-1800),58,4,8,0.069,0.1379,0.4259,False
丹内,場,福島,59,6,13,0.1017,0.2203,0.4254,False
松本,場,小倉,32,2,5,0.0625,0.1562,0.425,False
☆松本,脚質,差し,16,1,4,0.0625,0.25,0.425,False
★小林美,距離帯,短距離(~1400),12,1,1,0.0833,0.0833,0.425,False
丹内,場×距離帯×馬場,小倉/芝/長距離(2201~),8,1,1,0.125,0.125,0.425,False
石橋脩,脚質×距離帯,差し/長距離(2201~),8,1,2,0.125,0.25,0.425,False
国分恭,枠番,内枠(1-2),45,1,3,0.0222,0.0667,0.4244,False
北村宏,場,東京,70,3,12,0.0429,0.1714,0.4243,False
Cデム,枠番,中枠(3-6),26,3,14,0.1154,0.5385,0.4231,False
Cデム,脚質,差し,26,3,13,0.1154,0.5,0.4231,False
原,場×距離帯×馬場,新潟/芝/短距離(~1400),13,1,1,0.0769,0.0769,0.4231,False
舟山,脚質,差し,45,3,9,0.0667,0.2,0.4222,False
佐々木,場×距離帯×馬場,小倉/芝/短距離(~1400),14,1,2,0.0714,0.1429,0.4214,False
北村宏,脚質×距離帯,先行/マイル(1401-1800),15,2,2,0.1333,0.1333,0.42,False
横山武,場,京都,15,1,4,0.0667,0.2667,0.42,False
西村淳,場×距離帯×馬場,中京/ダ/中距離(1801-2200),5,1,2,0.2,0.4,0.42,False
横山武,場×距離帯×馬場,中山/芝/長距離(2201~),5,1,3,0.2,0.6,0.42,False
津村,場×距離帯×馬場,中山/芝/長距離(2201~),5,1,3,0.2,0.6,0.42,False
北村友,場×距離帯×馬場,東京/芝/長距離(2201~),5,1,1,0.2,0.2,0.42,False
太宰,脚質,差し,74,2,12,0.027,0.1622,0.4189,False
キング,距離帯,中距離(1801-2200),17,3,6,0.1765,0.3529,0.4176,False
津村,脚質×距離帯,差し/マイル(1401-1800),78,4,13,0.0513,0.1667,0.4167,False
高倉,場,小倉,24,1,3,0.0417,0.125,0.4167,False
鮫島駿,場,函館,62,4,17,0.0645,0.2742,0.4161,False
横山武,場×距離帯×馬場,札幌/芝/マイル(1401-1800),19,2,8,0.1053,0.4211,0.4158,False
池添,脚質×距離帯,差し/長距離(2201~),13,1,3,0.0769,0.2308,0.4154,False
吉村,場×距離帯×馬場,京都/芝/中距離(1801-2200),13,1,2,0.0769,0.1538,0.4154,False
西塚,場×距離帯×馬場,中京/芝/マイル(1401-1800),7,1,2,0.1429,0.2857,0.4143,False
幸,場,中京,110,4,22,0.0364,0.2,0.4136,False
池添,脚質×距離帯,差し/中距離(1801-2200),31,3,11,0.0968,0.3548,0.4129,False
佐々木,場×距離帯×馬場,新潟/芝/短距離(~1400),8,1,3,0.125,0.375,0.4125,False
吉田隼,場×距離帯×馬場,中京/芝/短距離(~1400),9,1,1,0.1111,0.1111,0.4111,False
大野,枠番,内枠(1-2),77,2,9,0.026,0.1169,0.4104,False
松山,場×距離帯×馬場,阪神/芝/長距離(2201~),10,1,3,0.1,0.3,0.41,False
北村友,場×距離帯×馬場,阪神/ダ/マイル(1401-1800),10,2,3,0.2,0.3,0.41,False
Mデム,脚質,先行,62,5,11,0.0806,0.1774,0.4097,False
▲石田,脚質,差し,52,1,6,0.0192,0.1154,0.4096,False
▲石田,距離帯,短距離(~1400),69,2,8,0.029,0.1159,0.4087,False
三浦,場×距離帯×馬場,福島/ダ/マイル(1401-1800),12,1,5,0.0833,0.4167,0.4083,False
横山和,場×距離帯×馬場,中山/芝/短距離(~1400),14,1,4,0.0714,0.2857,0.4071,False
ディー,場×距離帯×馬場,東京/ダ/短距離(~1400),15,2,4,0.1333,0.2667,0.4067,False
丹内,場×距離帯×馬場,札幌/芝/マイル(1401-1800),18,1,8,0.0556,0.4444,0.4056,False
戸崎圭,距離帯,長距離(2201~),37,5,16,0.1351,0.4324,0.4054,False
秋山稔,脚質×距離帯,先行/短距離(~1400),23,1,3,0.0435,0.1304,0.4043,False
田口,脚質×距離帯,先行/短距離(~1400),67,3,13,0.0448,0.194,0.403,False
江田照,脚質,差し,80,1,6,0.0125,0.075,0.4012,False
浜中,場,函館,40,3,12,0.075,0.3,0.4,False
武豊,場,中京,34,2,8,0.0588,0.2353,0.4,False
丹内,脚質×距離帯,差し/長距離(2201~),27,2,6,0.0741,0.2222,0.4,False
団野,場×距離帯×馬場,中京/芝/短距離(~1400),24,1,1,0.0417,0.0417,0.4,False
和田竜,場×距離帯×馬場,阪神/芝/マイル(1401-1800),15,1,2,0.0667,0.1333,0.4,False
Mデム,場×距離帯×馬場,阪神/芝/マイル(1401-1800),13,1,4,0.0769,0.3077,0.4,False
高杉,脚質×距離帯,差し/長距離(2201~),10,1,3,0.1,0.3,0.4,False
横山和,場×距離帯×馬場,東京/芝/中距離(1801-2200),8,1,2,0.125,0.25,0.4,False
大野,場,小倉,8,1,3,0.125,0.375,0.4,False
▲和田陽,場×距離帯×馬場,阪神/ダ/短距離(~1400),5,1,1,0.2,0.2,0.4,False
岩田康,脚質×距離帯,先行/長距離(2201~),5,1,1,0.2,0.2,0.4,False
小牧加,枠番,外枠(7-8),5,1,1,0.2,0.2,0.4,False
北村友,場,京都,111,5,27,0.045,0.2432,0.3991,False
岩田康,距離帯,マイル(1401-1800),129,8,24,0.062,0.186,0.3984,False
ルメー,場,中山,106,12,54,0.1132,0.5094,0.3981,True
原田和,枠番,中枠(3-6),42,1,2,0.0238,0.0476,0.3976,False
横山典,距離帯,マイル(1401-1800),107,9,27,0.0841,0.2523,0.3972,False
浜中,距離帯,短距離(~1400),92,7,23,0.0761,0.25,0.3967,False
◇今村,枠番,中枠(3-6),47,3,14,0.0638,0.2979,0.3957,False
国分恭,脚質,差し,114,4,19,0.0351,0.1667,0.3956,False
内田博,場,中山,72,5,16,0.0694,0.2222,0.3944,False
川田,場×距離帯×馬場,京都/ダ/短距離(~1400),18,3,8,0.1667,0.4444,0.3944,False
原田和,枠番,内枠(1-2),17,1,2,0.0588,0.1176,0.3941,False
松山,脚質×距離帯,差し/中距離(1801-2200),50,7,20,0.14,0.4,0.394,False
石川,場×距離帯×馬場,福島/芝/短距離(~1400),15,1,3,0.0667,0.2,0.3933,False
戸崎圭,場,中京,14,1,4,0.0714,0.2857,0.3929,False
松山,場,札幌,14,1,4,0.0714,0.2857,0.3929,False
荻野極,場×距離帯×馬場,福島/芝/中距離(1801-2200),13,2,4,0.1538,0.3077,0.3923,False
佐々木,枠番,内枠(1-2),99,8,22,0.0808,0.2222,0.3919,False
▲和田陽,枠番,外枠(7-8),24,2,3,0.0833,0.125,0.3917,False
江田照,枠番,中枠(3-6),82,1,9,0.0122,0.1098,0.3915,False
団野,場×距離帯×馬場,中京/ダ/短距離(~1400),23,1,4,0.0435,0.1739,0.3913,False
ディー,距離帯,短距離(~1400),31,3,9,0.0968,0.2903,0.3903,False
津村,脚質×距離帯,差し/短距離(~1400),70,1,13,0.0143,0.1857,0.39,False
戸崎圭,場×距離帯×馬場,東京/芝/長距離(2201~),19,3,8,0.1579,0.4211,0.3895,False
小沢,場,阪神,37,2,6,0.0541,0.1622,0.3892,False
Cデム,距離帯,短距離(~1400),18,3,8,0.1667,0.4444,0.3889,False
鮫島駿,距離帯,中距離(1801-2200),78,5,23,0.0641,0.2949,0.3885,False
▲石神道,枠番,内枠(1-2),17,1,2,0.0588,0.1176,0.3882,False
坂井,脚質×距離帯,差し/中距離(1801-2200),48,6,15,0.125,0.3125,0.3875,False
Aルメ,脚質×距離帯,差し/中距離(1801-2200),8,1,2,0.125,0.25,0.3875,False
角田和,枠番,中枠(3-6),114,4,15,0.0351,0.1316,0.3868,False
ルメー,脚質×距離帯,差し/短距離(~1400),52,5,17,0.0962,0.3269,0.3865,False
杉原,脚質,差し,135,7,17,0.0519,0.1259,0.3859,False
荻野極,場×距離帯×馬場,中京/ダ/短距離(~1400),7,1,2,0.1429,0.2857,0.3857,False
松山,場×距離帯×馬場,東京/芝/長距離(2201~),7,1,1,0.1429,0.1429,0.3857,False
菅原明,場×距離帯×馬場,東京/ダ/短距離(~1400),33,3,11,0.0909,0.3333,0.3848,False
富田,脚質×距離帯,差し/マイル(1401-1800),33,1,1,0.0303,0.0303,0.3848,False
亀田,場,小倉,32,1,3,0.0312,0.0938,0.3844,False
坂井,距離帯,長距離(2201~),38,5,17,0.1316,0.4474,0.3842,False
マーカ,脚質,差し,31,3,11,0.0968,0.3548,0.3839,False
Mデム,枠番,外枠(7-8),43,3,9,0.0698,0.2093,0.3837,False
難波,枠番,中枠(3-6),6,1,3,0.1667,0.5,0.3833,False
横山典,場×距離帯×馬場,京都/芝/マイル(1401-1800),6,1,1,0.1667,0.1667,0.3833,False
☆西塚,場,京都,6,1,2,0.1667,0.3333,0.3833,False
津村,場×距離帯×馬場,福島/芝/マイル(1401-1800),6,1,1,0.1667,0.1667,0.3833,False
難波,距離帯,長距離(2201~),6,1,3,0.1667,0.5,0.3833,False
菱田,脚質×距離帯,差し/短距離(~1400),89,5,8,0.0562,0.0899,0.382,False
レーン,距離帯,中距離(1801-2200),22,3,5,0.1364,0.2273,0.3818,False
大野,場×距離帯×馬場,中山/ダ/マイル(1401-1800),20,1,2,0.05,0.1,0.38,False
▲遠藤,場,福島,10,1,2,0.1,0.2,0.38,False
菅原明,場×距離帯×馬場,東京/芝/マイル(1401-1800),34,2,10,0.0588,0.2941,0.3794,False
国分恭,脚質×距離帯,差し/短距離(~1400),61,2,13,0.0328,0.2131,0.3787,False
松若,脚質,差し,185,7,31,0.0378,0.1676,0.3784,False
舟山,脚質,先行,27,2,9,0.0741,0.3333,0.3778,False
西村淳,脚質×距離帯,差し/短距離(~1400),49,5,11,0.102,0.2245,0.3776,False
藤懸,距離帯,マイル(1401-1800),74,2,11,0.027,0.1486,0.377,False
レーン,脚質×距離帯,差し/中距離(1801-2200),13,2,2,0.1538,0.1538,0.3769,False
武豊,脚質×距離帯,差し/マイル(1401-1800),85,6,26,0.0706,0.3059,0.3765,False
松若,枠番,外枠(7-8),109,5,31,0.0459,0.2844,0.3752,False
秋山稔,脚質×距離帯,差し/短距離(~1400),60,1,8,0.0167,0.1333,0.375,False
武豊,脚質×距離帯,差し/中距離(1801-2200),36,3,15,0.0833,0.4167,0.375,False
横山武,場×距離帯×馬場,札幌/芝/短距離(~1400),15,2,6,0.1333,0.4,0.3733,False
Mデム,距離帯,マイル(1401-1800),65,5,14,0.0769,0.2154,0.3723,False
幸,場×距離帯×馬場,中京/芝/中距離(1801-2200),14,1,4,0.0714,0.2857,0.3714,False
小沢,場×距離帯×馬場,阪神/芝/短距離(~1400),7,1,3,0.1429,0.4286,0.3714,False
菅原明,場,福島,24,1,10,0.0417,0.4167,0.3708,False
松本,脚質×距離帯,差し/マイル(1401-1800),26,2,5,0.0769,0.1923,0.3692,False
黛,脚質×距離帯,差し/長距離(2201~),13,1,2,0.0769,0.1538,0.3692,False
横山典,脚質×距離帯,差し/マイル(1401-1800),60,4,12,0.0667,0.2,0.3683,False
泉谷,脚質,差し,28,2,6,0.0714,0.2143,0.3679,False
横山琉,枠番,中枠(3-6),145,6,22,0.0414,0.1517,0.3676,False
国分恭,場,中京,46,2,10,0.0435,0.2174,0.3674,False
川須,場×距離帯×馬場,中京/ダ/短距離(~1400),9,1,1,0.1111,0.1111,0.3667,False
古川吉,場×距離帯×馬場,京都/ダ/マイル(1401-1800),9,1,3,0.1111,0.3333,0.3667,False
岩田望,脚質×距離帯,追込/マイル(1401-1800),6,1,1,0.1667,0.1667,0.3667,False
岩田康,枠番,中枠(3-6),171,11,34,0.0643,0.1988,0.3661,True
吉田豊,枠番,外枠(7-8),79,3,9,0.038,0.1139,0.3658,False
古川奈,枠番,中枠(3-6),38,2,7,0.0526,0.1842,0.3658,False
横山武,場×距離帯×馬場,中山/ダ/マイル(1401-1800),31,4,9,0.129,0.2903,0.3645,False
▲上里,距離帯,短距離(~1400),42,2,3,0.0476,0.0714,0.3643,False
三浦,脚質,追込,14,1,2,0.0714,0.1429,0.3643,False
★小林美,枠番,中枠(3-6),14,1,2,0.0714,0.1429,0.3643,False
吉田隼,枠番,内枠(1-2),50,3,9,0.06,0.18,0.364,False
鮫島駿,場×距離帯×馬場,札幌/芝/マイル(1401-1800),11,1,3,0.0909,0.2727,0.3636,False
石橋脩,場,新潟,49,3,7,0.0612,0.1429,0.3633,False
コレッ,脚質,先行,19,2,8,0.1053,0.4211,0.3632,False
菊沢,場×距離帯×馬場,福島/芝/長距離(2201~),8,1,2,0.125,0.25,0.3625,False
和田竜,場×距離帯×馬場,京都/芝/中距離(1801-2200),8,1,2,0.125,0.25,0.3625,False
川田,場,札幌,8,1,3,0.125,0.375,0.3625,False
内田博,距離帯,中距離(1801-2200),33,1,6,0.0303,0.1818,0.3606,False
高杉,場,阪神,115,4,18,0.0348,0.1565,0.36,False
酒井,場×距離帯×馬場,阪神/ダ/短距離(~1400),30,1,2,0.0333,0.0667,0.36,False
戸崎圭,脚質×距離帯,差し/長距離(2201~),20,3,12,0.15,0.6,0.36,False
◇永島,脚質×距離帯,差し/マイル(1401-1800),15,1,2,0.0667,0.1333,0.36,False
嶋田,場×距離帯×馬場,福島/ダ/マイル(1401-1800),10,1,4,0.1,0.4,0.36,False
▲小林美,脚質×距離帯,先行/短距離(~1400),10,1,6,0.1,0.6,0.36,False
北村友,脚質×距離帯,先行/長距離(2201~),5,1,2,0.2,0.4,0.36,False
横山武,脚質×距離帯,差し/短距離(~1400),74,7,24,0.0946,0.3243,0.3595,False
国分優,場,中京,44,2,5,0.0455,0.1136,0.3591,False
ディー,場×距離帯×馬場,東京/ダ/マイル(1401-1800),17,1,1,0.0588,0.0588,0.3588,False
津村,距離帯,短距離(~1400),142,8,27,0.0563,0.1901,0.3585,False
団野,脚質×距離帯,差し/マイル(1401-1800),87,5,29,0.0575,0.3333,0.3575,False
北村友,場×距離帯×馬場,阪神/芝/長距離(2201~),7,1,2,0.1429,0.2857,0.3571,False
横山和,場×距離帯×馬場,中山/芝/マイル(1401-1800),32,2,7,0.0625,0.2188,0.3563,False
亀田,枠番,外枠(7-8),61,2,7,0.0328,0.1148,0.3557,False
田辺,脚質×距離帯,先行/マイル(1401-1800),30,3,8,0.1,0.2667,0.3533,False
原,場,東京,125,3,13,0.024,0.104,0.3504,False
津村,脚質,逃げ,12,2,3,0.1667,0.25,0.35,False
◇永島,場×距離帯×馬場,中京/芝/短距離(~1400),10,1,1,0.1,0.1,0.35,False
田辺,場×距離帯×馬場,新潟/芝/マイル(1401-1800),8,1,2,0.125,0.25,0.35,False
Cデム,脚質×距離帯,先行/短距離(~1400),8,1,3,0.125,0.375,0.35,False
▲舟山,場,函館,6,1,3,0.1667,0.5,0.35,False
川田,場×距離帯×馬場,京都/芝/長距離(2201~),6,1,2,0.1667,0.3333,0.35,False
☆高杉,枠番,中枠(3-6),39,1,4,0.0256,0.1026,0.3487,False
国分恭,距離帯,マイル(1401-1800),55,1,7,0.0182,0.1273,0.3473,False
戸崎圭,脚質,逃げ,17,1,6,0.0588,0.3529,0.3471,False
横山武,場×距離帯×馬場,東京/ダ/マイル(1401-1800),24,1,4,0.0417,0.1667,0.3458,False
団野,脚質×距離帯,先行/中距離(1801-2200),11,1,2,0.0909,0.1818,0.3455,False
岩田康,脚質×距離帯,差し/マイル(1401-1800),78,4,13,0.0513,0.1667,0.3449,False
横山琉,場,東京,27,1,4,0.037,0.1481,0.3444,False
Aルメ,距離帯,中距離(1801-2200),9,1,2,0.1111,0.2222,0.3444,False
横山和,脚質×距離帯,先行/長距離(2201~),9,1,1,0.1111,0.1111,0.3444,False
津村,場×距離帯×馬場,福島/芝/短距離(~1400),9,1,2,0.1111,0.2222,0.3444,False
石川,枠番,外枠(7-8),84,3,17,0.0357,0.2024,0.3429,False
黛,距離帯,長距離(2201~),14,1,2,0.0714,0.1429,0.3429,False
高杉,場×距離帯×馬場,中京/ダ/短距離(~1400),7,1,3,0.1429,0.4286,0.3429,False
岩田望,脚質×距離帯,先行/長距離(2201~),7,1,2,0.1429,0.2857,0.3429,False
杉原,場×距離帯×馬場,新潟/芝/中距離(1801-2200),12,1,1,0.0833,0.0833,0.3417,False
コレッ,距離帯,マイル(1401-1800),12,1,3,0.0833,0.25,0.3417,False
コレッ,枠番,内枠(1-2),12,1,5,0.0833,0.4167,0.3417,False
吉田豊,距離帯,マイル(1401-1800),107,4,15,0.0374,0.1402,0.3402,False
幸,脚質×距離帯,差し/マイル(1401-1800),65,2,11,0.0308,0.1692,0.34,False
★小林美,脚質,差し,15,1,1,0.0667,0.0667,0.34,False
川田,場×距離帯×馬場,中山/ダ/マイル(1401-1800),5,1,1,0.2,0.2,0.34,False
◇今村,枠番,外枠(7-8),13,2,2,0.1538,0.1538,0.3385,False
藤岡佑,枠番,内枠(1-2),40,3,9,0.075,0.225,0.3375,False
角田和,場×距離帯×馬場,中京/ダ/短距離(~1400),16,1,2,0.0625,0.125,0.3375,False
和田竜,場×距離帯×馬場,京都/芝/マイル(1401-1800),16,1,5,0.0625,0.3125,0.3375,False
△舟山,距離帯,マイル(1401-1800),8,1,2,0.125,0.25,0.3375,False
石川,脚質×距離帯,差し/マイル(1401-1800),65,2,7,0.0308,0.1077,0.3369,False
▲和田陽,脚質,先行,22,1,4,0.0455,0.1818,0.3364,False
川田,場×距離帯×馬場,中京/芝/マイル(1401-1800),11,1,9,0.0909,0.8182,0.3364,False
杉原,場×距離帯×馬場,福島/芝/短距離(~1400),11,1,3,0.0909,0.2727,0.3364,False
北村友,脚質×距離帯,差し/マイル(1401-1800),64,5,16,0.0781,0.25,0.3359,False
丸田,枠番,外枠(7-8),54,3,5,0.0556,0.0926,0.3352,False
田辺,枠番,外枠(7-8),74,5,20,0.0676,0.2703,0.3351,False
丸山,枠番,内枠(1-2),89,4,18,0.0449,0.2022,0.3348,False
藤懸,場,京都,36,1,4,0.0278,0.1111,0.3333,False
北村友,脚質×距離帯,差し/長距離(2201~),24,3,5,0.125,0.2083,0.3333,False
武豊,場×距離帯×馬場,京都/芝/マイル(1401-1800),24,2,7,0.0833,0.2917,0.3333,False
岩田康,場×距離帯×馬場,京都/芝/長距離(2201~),6,1,2,0.1667,0.3333,0.3333,False
長岡,枠番,中枠(3-6),76,2,12,0.0263,0.1579,0.3329,False
田口,場,阪神,135,5,23,0.037,0.1704,0.3326,False
大野,脚質,追込,31,1,4,0.0323,0.129,0.3323,False
田口,場×距離帯×馬場,阪神/ダ/マイル(1401-1800),25,1,4,0.04,0.16,0.332,False
横山琉,枠番,内枠(1-2),61,1,7,0.0164,0.1148,0.3311,False
酒井,場,中京,63,2,9,0.0317,0.1429,0.3302,False
▲石神道,距離帯,マイル(1401-1800),20,1,3,0.05,0.15,0.33,False
鮫島駿,場×距離帯×馬場,札幌/ダ/マイル(1401-1800),10,1,3,0.1,0.3,0.33,False
角田和,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),17,1,4,0.0588,0.2353,0.3294,False
丸田,距離帯,中距離(1801-2200),24,1,4,0.0417,0.1667,0.3292,False
▲石田,脚質×距離帯,先行/短距離(~1400),21,1,3,0.0476,0.1429,0.3286,False
岩田康,場×距離帯×馬場,京都/芝/短距離(~1400),14,1,1,0.0714,0.0714,0.3286,False
レーン,場×距離帯×馬場,東京/芝/長距離(2201~),14,1,5,0.0714,0.3571,0.3286,False
大江圭,場,中京,7,1,3,0.1429,0.4286,0.3286,False
大江圭,場×距離帯×馬場,中京/障/長距離(2201~),7,1,3,0.1429,0.4286,0.3286,False
西村淳,場×距離帯×馬場,小倉/芝/短距離(~1400),7,1,2,0.1429,0.2857,0.3286,False
Cデム,脚質×距離帯,差し/マイル(1401-1800),11,1,6,0.0909,0.5455,0.3273,False
松山,場×距離帯×馬場,小倉/ダ/マイル(1401-1800),15,3,6,0.2,0.4,0.3267,False
北村宏,場,中山,61,2,12,0.0328,0.1967,0.3262,False
吉村,場,阪神,129,6,19,0.0465,0.1473,0.3256,False
国分恭,枠番,外枠(7-8),48,1,6,0.0208,0.125,0.325,False
武豊,脚質×距離帯,逃げ/マイル(1401-1800),8,1,2,0.125,0.25,0.325,False
坂井,場×距離帯×馬場,京都/芝/短距離(~1400),17,1,3,0.0588,0.1765,0.3235,False
西村淳,場,小倉,22,3,9,0.1364,0.4091,0.3227,False
菅原明,場×距離帯×馬場,中山/芝/短距離(~1400),18,1,3,0.0556,0.1667,0.3222,False
吉田隼,場,中京,28,2,4,0.0714,0.1429,0.3214,False
大野,脚質,先行,103,5,22,0.0485,0.2136,0.3204,False
松若,場,中京,95,6,22,0.0632,0.2316,0.32,False
団野,場×距離帯×馬場,中京/芝/中距離(1801-2200),15,1,3,0.0667,0.2,0.32,False
松若,枠番,内枠(1-2),86,3,11,0.0349,0.1279,0.3198,False
マーカ,距離帯,マイル(1401-1800),26,2,7,0.0769,0.2692,0.3192,False
岩田望,場×距離帯×馬場,中山/芝/中距離(1801-2200),11,1,3,0.0909,0.2727,0.3182,False
武豊,場×距離帯×馬場,函館/芝/マイル(1401-1800),11,1,6,0.0909,0.5455,0.3182,False
舟山,枠番,内枠(1-2),24,1,6,0.0417,0.25,0.3167,False
菱田,場×距離帯×馬場,京都/芝/マイル(1401-1800),12,1,2,0.0833,0.1667,0.3167,False
高田,枠番,中枠(3-6),6,1,2,0.1667,0.3333,0.3167,False
高田,脚質×距離帯,先行/長距離(2201~),6,1,3,0.1667,0.5,0.3167,False
▲小林美,距離帯,マイル(1401-1800),19,1,3,0.0526,0.1579,0.3158,False
丸山,距離帯,中距離(1801-2200),53,1,13,0.0189,0.2453,0.3151,False
松岡,枠番,内枠(1-2),54,2,11,0.037,0.2037,0.3148,False
角田和,場,小倉,48,2,6,0.0417,0.125,0.3125,False
Mデム,場×距離帯×馬場,中京/芝/マイル(1401-1800),8,1,1,0.125,0.125,0.3125,False
高杉,場×距離帯×馬場,中京/ダ/マイル(1401-1800),8,1,2,0.125,0.25,0.3125,False
荻野琢,脚質,先行,25,1,5,0.04,0.2,0.312,False
▲遠藤,場×距離帯×馬場,新潟/芝/短距離(~1400),9,1,2,0.1111,0.2222,0.3111,False
△石神道,脚質,差し,9,1,2,0.1111,0.2222,0.3111,False
佐々木,場,中山,142,6,27,0.0423,0.1901,0.3106,False
北村宏,脚質,先行,38,3,9,0.0789,0.2368,0.3105,False
石橋脩,場×距離帯×馬場,中山/芝/マイル(1401-1800),21,2,6,0.0952,0.2857,0.3095,False
原田和,脚質,差し,54,1,2,0.0185,0.037,0.3093,False
大野,脚質×距離帯,先行/マイル(1401-1800),44,2,6,0.0455,0.1364,0.3091,False
杉原,場,東京,34,2,3,0.0588,0.0882,0.3088,False
団野,場×距離帯×馬場,中京/ダ/マイル(1401-1800),12,1,6,0.0833,0.5,0.3083,False
泉谷,距離帯,短距離(~1400),26,1,2,0.0385,0.0769,0.3077,False
北村友,場,東京,26,2,4,0.0769,0.1538,0.3077,False
小沢,枠番,中枠(3-6),165,5,22,0.0303,0.1333,0.3067,False
角田和,距離帯,マイル(1401-1800),68,3,10,0.0441,0.1471,0.3059,False
酒井,場×距離帯×馬場,中京/芝/短距離(~1400),17,1,5,0.0588,0.2941,0.3059,False
木幡巧,距離帯,短距離(~1400),112,1,16,0.0089,0.1429,0.3054,False
国分恭,場,小倉,50,2,6,0.04,0.12,0.304,False
高倉,距離帯,マイル(1401-1800),33,1,7,0.0303,0.2121,0.303,False
秋山稔,距離帯,短距離(~1400),106,2,14,0.0189,0.1321,0.3,False
高杉,場×距離帯×馬場,京都/ダ/マイル(1401-1800),20,1,10,0.05,0.5,0.3,False
松山,場×距離帯×馬場,京都/芝/短距離(~1400),19,2,6,0.1053,0.3158,0.3,False
戸崎圭,場×距離帯×馬場,中山/芝/短距離(~1400),18,2,6,0.1111,0.3333,0.3,False
▲古川奈,距離帯,マイル(1401-1800),12,1,2,0.0833,0.1667,0.3,False
武豊,場×距離帯×馬場,札幌/ダ/マイル(1401-1800),12,1,5,0.0833,0.4167,0.3,False
池添,場,中山,10,1,1,0.1,0.1,0.3,False
