騎手,粒度,条件,n,勝利数,複勝内数,勝率,複勝率,単勝回収率,信頼できる母数
石川,場×距離帯×馬場,福島/芝/マイル(1401-1800),8,2,2,0.25,0.25,4.1375,False
◇永島,場×距離帯×馬場,中京/ダ/短距離(~1400),16,2,3,0.125,0.1875,4.125,False
高倉,場,京都,23,1,3,0.0435,0.1304,4.113,False
◇永島,場×距離帯×馬場,中京/ダ/マイル(1401-1800),8,2,3,0.25,0.375,4.1125,False
内田博,場×距離帯×馬場,東京/ダ/マイル(1401-1800),14,1,1,0.0714,0.0714,4.1071,False
北村友,場×距離帯×馬場,札幌/芝/マイル(1401-1800),8,3,4,0.375,0.5,4.1,False
ディー,場×距離帯×馬場,東京/芝/中距離(1801-2200),7,2,3,0.2857,0.4286,4.1,False
小崎,場×距離帯×馬場,新潟/芝/マイル(1401-1800),7,1,1,0.1429,0.1429,4.0714,False
富田,場×距離帯×馬場,中京/芝/短距離(~1400),14,2,3,0.1429,0.2143,4.0571,False
小沢,場×距離帯×馬場,中京/ダ/中距離(1801-2200),5,1,1,0.2,0.2,4.04,False
江田照,脚質×距離帯,差し/中距離(1801-2200),8,1,2,0.125,0.25,4.0125,False
武藤,脚質×距離帯,差し/マイル(1401-1800),35,2,3,0.0571,0.0857,4.0086,False
原,脚質×距離帯,差し/短距離(~1400),70,1,5,0.0143,0.0714,3.9986,False
吉村,場×距離帯×馬場,京都/ダ/短距離(~1400),29,2,5,0.069,0.1724,3.9828,False
岩田望,場×距離帯×馬場,中山/ダ/短距離(~1400),7,2,3,0.2857,0.4286,3.9143,False
横山和,脚質×距離帯,差し/短距離(~1400),55,4,16,0.0727,0.2909,3.8891,False
菱田,脚質×距離帯,逃げ/短距離(~1400),6,1,1,0.1667,0.1667,3.85,False
三浦,場×距離帯×馬場,中山/芝/短距離(~1400),13,1,2,0.0769,0.1538,3.8462,False
嶋田,距離帯,短距離(~1400),69,4,17,0.058,0.2464,3.8435,False
▲舟山,場,中山,8,1,1,0.125,0.125,3.8125,False
木幡巧,脚質,逃げ,9,1,2,0.1111,0.2222,3.8,False
古川吉,場×距離帯×馬場,中京/芝/中距離(1801-2200),5,2,4,0.4,0.8,3.78,False
今村,脚質×距離帯,差し/中距離(1801-2200),5,1,1,0.2,0.2,3.78,False
横山琉,場×距離帯×馬場,中山/ダ/マイル(1401-1800),12,2,2,0.1667,0.1667,3.7583,False
秋山稔,脚質×距離帯,差し/マイル(1401-1800),29,3,8,0.1034,0.2759,3.7138,False
荻野極,場×距離帯×馬場,新潟/芝/短距離(~1400),24,5,9,0.2083,0.375,3.7083,False
浜中,脚質×距離帯,先行/マイル(1401-1800),39,5,11,0.1282,0.2821,3.6872,False
原,場,中京,7,1,2,0.1429,0.2857,3.6429,False
☆田山,場×距離帯×馬場,中京/芝/短距離(~1400),7,2,2,0.2857,0.2857,3.6429,False
吉田隼,場×距離帯×馬場,函館/ダ/マイル(1401-1800),9,2,4,0.2222,0.4444,3.6333,False
岩田望,脚質×距離帯,差し/短距離(~1400),72,11,25,0.1528,0.3472,3.6292,True
岩田康,場×距離帯×馬場,阪神/ダ/短距離(~1400),12,2,3,0.1667,0.25,3.5917,False
岩田望,脚質×距離帯,逃げ/短距離(~1400),7,2,2,0.2857,0.2857,3.5857,False
吉田隼,場×距離帯×馬場,小倉/芝/中距離(1801-2200),6,1,1,0.1667,0.1667,3.5833,False
吉田豊,場×距離帯×馬場,新潟/ダ/短距離(~1400),10,1,2,0.1,0.2,3.58,False
原,場,中山,102,4,9,0.0392,0.0882,3.5794,False
荻野極,場×距離帯×馬場,新潟/ダ/短距離(~1400),13,3,5,0.2308,0.3846,3.5769,False
西塚,脚質×距離帯,差し/中距離(1801-2200),21,3,6,0.1429,0.2857,3.5476,False
柴田大,距離帯,短距離(~1400),54,2,7,0.037,0.1296,3.5352,False
丸田,場×距離帯×馬場,中山/芝/マイル(1401-1800),18,1,2,0.0556,0.1111,3.5278,False
横山典,場×距離帯×馬場,阪神/芝/短距離(~1400),5,1,2,0.2,0.4,3.52,False
藤岡佑,場×距離帯×馬場,京都/芝/中距離(1801-2200),6,3,5,0.5,0.8333,3.5167,False
西塚,脚質×距離帯,先行/中距離(1801-2200),14,4,4,0.2857,0.2857,3.5143,False
◇永島,脚質×距離帯,先行/マイル(1401-1800),11,2,4,0.1818,0.3636,3.4818,False
田口,場×距離帯×馬場,中京/ダ/マイル(1401-1800),10,2,4,0.2,0.4,3.47,False
小林凌,脚質×距離帯,差し/短距離(~1400),9,1,1,0.1111,0.1111,3.4667,False
津村,脚質×距離帯,差し/長距離(2201~),19,1,5,0.0526,0.2632,3.4632,False
丹内,場×距離帯×馬場,新潟/ダ/短距離(~1400),8,2,4,0.25,0.5,3.4125,False
△田山,距離帯,短距離(~1400),10,2,2,0.2,0.2,3.39,False
斎藤,場×距離帯×馬場,函館/芝/短距離(~1400),23,4,7,0.1739,0.3043,3.3826,False
丸山,場×距離帯×馬場,東京/芝/短距離(~1400),5,1,1,0.2,0.2,3.38,False
岩田康,場×距離帯×馬場,中山/芝/短距離(~1400),5,1,2,0.2,0.4,3.34,False
田山,場×距離帯×馬場,京都/ダ/短距離(~1400),5,1,1,0.2,0.2,3.32,False
▲石神道,場,中山,8,1,2,0.125,0.25,3.3,False
△長浜,脚質×距離帯,差し/マイル(1401-1800),12,1,2,0.0833,0.1667,3.25,False
菊沢,場×距離帯×馬場,福島/芝/マイル(1401-1800),9,1,2,0.1111,0.2222,3.2444,False
横山和,場×距離帯×馬場,東京/芝/マイル(1401-1800),32,4,5,0.125,0.1562,3.2313,False
藤岡佑,場×距離帯×馬場,函館/芝/短距離(~1400),8,1,1,0.125,0.125,3.225,False
吉田隼,場×距離帯×馬場,新潟/芝/中距離(1801-2200),9,2,2,0.2222,0.2222,3.2222,False
北村友,脚質×距離帯,先行/中距離(1801-2200),26,4,14,0.1538,0.5385,3.2154,False
川又,距離帯,マイル(1401-1800),21,1,4,0.0476,0.1905,3.1905,False
小林美,枠番,内枠(1-2),10,2,2,0.2,0.2,3.19,False
柴田善,場×距離帯×馬場,中山/芝/マイル(1401-1800),9,1,1,0.1111,0.1111,3.1889,False
古川吉,場,新潟,8,2,3,0.25,0.375,3.1875,False
坂井,場×距離帯×馬場,中京/芝/中距離(1801-2200),10,5,6,0.5,0.6,3.16,False
横山和,場×距離帯×馬場,函館/芝/中距離(1801-2200),8,2,4,0.25,0.5,3.15,False
太宰,場,京都,39,3,8,0.0769,0.2051,3.1385,False
津村,場×距離帯×馬場,東京/芝/長距離(2201~),21,1,5,0.0476,0.2381,3.1333,False
☆田山,脚質×距離帯,差し/短距離(~1400),6,1,1,0.1667,0.1667,3.1333,False
斎藤,場,中京,36,3,10,0.0833,0.2778,3.125,False
シュタ,場,京都,17,2,5,0.1176,0.2941,3.1235,False
亀田,場×距離帯×馬場,阪神/芝/マイル(1401-1800),7,2,3,0.2857,0.4286,3.1,False
岩田望,場,新潟,26,9,14,0.3462,0.5385,3.0962,False
田山,距離帯,中距離(1801-2200),13,1,1,0.0769,0.0769,3.0846,False
古川吉,場×距離帯×馬場,福島/芝/短距離(~1400),7,1,3,0.1429,0.4286,3.0714,False
菊沢,脚質×距離帯,先行/中距離(1801-2200),11,1,3,0.0909,0.2727,3.0455,False
Mデム,脚質×距離帯,追込/短距離(~1400),7,1,2,0.1429,0.2857,3.0429,False
小崎,脚質×距離帯,差し/マイル(1401-1800),46,3,6,0.0652,0.1304,3.037,False
Aルメ,脚質,差し,27,2,7,0.0741,0.2593,3.0333,False
石川,脚質×距離帯,先行/短距離(~1400),41,3,9,0.0732,0.2195,3.0244,False
丸田,距離帯,長距離(2201~),16,4,6,0.25,0.375,3.0125,False
菊沢,場×距離帯×馬場,新潟/芝/中距離(1801-2200),24,3,6,0.125,0.25,3.0083,False
田辺,脚質×距離帯,差し/中距離(1801-2200),25,3,4,0.12,0.16,3.008,False
大野,場×距離帯×馬場,東京/芝/短距離(~1400),13,1,2,0.0769,0.1538,3.0077,False
嶋田,脚質×距離帯,先行/マイル(1401-1800),10,2,2,0.2,0.2,3.0,False
▲長浜,脚質×距離帯,先行/短距離(~1400),5,2,2,0.4,0.4,3.0,False
松山,場×距離帯×馬場,中山/芝/中距離(1801-2200),8,2,3,0.25,0.375,2.975,False
▲和田陽,場,新潟,8,1,2,0.125,0.25,2.975,False
ハマー,距離帯,中距離(1801-2200),7,1,1,0.1429,0.1429,2.9714,False
浜中,場,京都,63,8,20,0.127,0.3175,2.9556,False
小沢,脚質×距離帯,差し/中距離(1801-2200),30,3,9,0.1,0.3,2.9533,False
石神深,脚質,差し,11,1,2,0.0909,0.1818,2.9455,False
岩田望,脚質,逃げ,11,3,3,0.2727,0.2727,2.9273,False
江田照,場×距離帯×馬場,新潟/芝/中距離(1801-2200),11,1,3,0.0909,0.2727,2.9182,False
斎藤,場×距離帯×馬場,新潟/芝/短距離(~1400),25,4,4,0.16,0.16,2.916,False
丹内,場×距離帯×馬場,中山/ダ/マイル(1401-1800),28,2,8,0.0714,0.2857,2.9143,False
武藤,距離帯,マイル(1401-1800),66,7,11,0.1061,0.1667,2.9136,False
北村友,場×距離帯×馬場,中京/芝/短距離(~1400),15,3,4,0.2,0.2667,2.9133,False
亀田,脚質,追込,9,1,2,0.1111,0.2222,2.9111,False
斎藤,距離帯,中距離(1801-2200),61,5,13,0.082,0.2131,2.9,False
三浦,場×距離帯×馬場,中山/ダ/短距離(~1400),26,4,11,0.1538,0.4231,2.8962,False
西塚,距離帯,中距離(1801-2200),43,7,10,0.1628,0.2326,2.8767,False
マーカ,場×距離帯×馬場,中山/ダ/短距離(~1400),6,2,3,0.3333,0.5,2.8667,False
シュタ,距離帯,長距離(2201~),5,1,3,0.2,0.6,2.86,False
△長浜,枠番,中枠(3-6),19,2,3,0.1053,0.1579,2.8579,False
幸,場×距離帯×馬場,阪神/芝/短距離(~1400),18,3,5,0.1667,0.2778,2.8556,False
佐々木,場,京都,11,1,2,0.0909,0.1818,2.8545,False
菊沢,場×距離帯×馬場,小倉/芝/長距離(2201~),8,2,2,0.25,0.25,2.85,False
小林美,脚質,先行,20,4,5,0.2,0.25,2.84,False
西村淳,場×距離帯×馬場,京都/芝/マイル(1401-1800),27,3,10,0.1111,0.3704,2.837,False
渡辺竜,枠番,内枠(1-2),6,1,2,0.1667,0.3333,2.8333,False
秋山稔,枠番,内枠(1-2),46,4,6,0.087,0.1304,2.8304,False
木幡巧,場,福島,26,2,4,0.0769,0.1538,2.8192,False
柴田大,枠番,中枠(3-6),69,3,5,0.0435,0.0725,2.8101,False
西村淳,場×距離帯×馬場,京都/ダ/マイル(1401-1800),15,2,7,0.1333,0.4667,2.8067,False
◇永島,脚質,先行,33,5,8,0.1515,0.2424,2.797,False
富田,脚質×距離帯,逃げ/短距離(~1400),8,1,4,0.125,0.5,2.7875,False
松本,場×距離帯×馬場,札幌/芝/長距離(2201~),6,1,2,0.1667,0.3333,2.7833,False
