date,stem,band,kind,width,points,invest,ret
2025-01-06,2025-01-06_中京12R_4歳以上2勝クラス,1倍台,馬連,5,10,1000,0
2025-01-06,2025-01-06_中京12R_4歳以上2勝クラス,1倍台,馬連,6,15,1500,2530
2025-01-06,2025-01-06_中山09R_初茜賞,1倍台,ワイド,3,3,300,320
2025-01-06,2025-01-06_中山09R_初茜賞,1倍台,ワイド,4,6,600,320
2025-01-06,2025-01-06_中山09R_初茜賞,1倍台,ワイド,5,10,1000,1860
2025-01-06,2025-01-06_中山09R_初茜賞,1倍台,ワイド,6,15,1500,1860
2025-01-06,2025-01-06_中山09R_初茜賞,1倍台,馬連,3,3,300,910
2025-01-06,2025-01-06_中山09R_初茜賞,1倍台,馬連,4,6,600,910
2025-01-06,2025-01-06_中山09R_初茜賞,1倍台,馬連,5,10,1000,910
2025-01-06,2025-01-06_中山09R_初茜賞,1倍台,馬連,6,15,1500,910
2025-01-06,2025-01-06_中山10R_初日の出賞,3倍以上,ワイド,3,3,300,630
2025-01-06,2025-01-06_中山10R_初日の出賞,3倍以上,ワイド,4,6,600,1910
2025-01-06,2025-01-06_中山10R_初日の出賞,3倍以上,ワイド,5,10,1000,1910
2025-01-06,2025-01-06_中山10R_初日の出賞,3倍以上,ワイド,6,15,1500,1910
2025-01-06,2025-01-06_中山10R_初日の出賞,3倍以上,馬連,3,3,300,0
2025-01-06,2025-01-06_中山10R_初日の出賞,3倍以上,馬連,4,6,600,2200
2025-01-06,2025-01-06_中山10R_初日の出賞,3倍以上,馬連,5,10,1000,2200
2025-01-06,2025-01-06_中山10R_初日の出賞,3倍以上,馬連,6,15,1500,2200
2025-01-06,2025-01-06_中山11R_サンライズS,2倍台,ワイド,3,3,300,430
2025-01-06,2025-01-06_中山11R_サンライズS,2倍台,ワイド,4,6,600,3220
2025-01-06,2025-01-06_中山11R_サンライズS,2倍台,ワイド,5,10,1000,3220
2025-01-06,2025-01-06_中山11R_サンライズS,2倍台,ワイド,6,15,1500,3220
2025-01-06,2025-01-06_中山11R_サンライズS,2倍台,馬連,3,3,300,0
2025-01-06,2025-01-06_中山11R_サンライズS,2倍台,馬連,4,6,600,2250
2025-01-06,2025-01-06_中山11R_サンライズS,2倍台,馬連,5,10,1000,2250
2025-01-06,2025-01-06_中山11R_サンライズS,2倍台,馬連,6,15,1500,2250
2025-01-06,2025-01-06_中山12R_4歳以上1勝クラス,2倍台,ワイド,3,3,300,0
2025-01-06,2025-01-06_中山12R_4歳以上1勝クラス,2倍台,ワイド,4,6,600,0
2025-01-06,2025-01-06_中山12R_4歳以上1勝クラス,2倍台,ワイド,5,10,1000,0
2025-01-06,2025-01-06_中山12R_4歳以上1勝クラス,2倍台,ワイド,6,15,1500,0
2025-01-06,2025-01-06_中山12R_4歳以上1勝クラス,2倍台,馬連,3,3,300,0
2025-01-06,2025-01-06_中山12R_4歳以上1勝クラス,2倍台,馬連,4,6,600,0
2025-01-06,2025-01-06_中山12R_4歳以上1勝クラス,2倍台,馬連,5,10,1000,0
2025-01-06,2025-01-06_中山12R_4歳以上1勝クラス,2倍台,馬連,6,15,1500,0
2025-01-11,2025-01-11_中京09R_渥美特別,2倍台,ワイド,3,3,300,0
2025-01-11,2025-01-11_中京09R_渥美特別,2倍台,ワイド,4,6,600,0
2025-01-11,2025-01-11_中京09R_渥美特別,2倍台,ワイド,5,10,1000,0
2025-01-11,2025-01-11_中京09R_渥美特別,2倍台,ワイド,6,15,1500,0
2025-01-11,2025-01-11_中京09R_渥美特別,2倍台,馬連,3,3,300,0
2025-01-11,2025-01-11_中京09R_渥美特別,2倍台,馬連,4,6,600,0
2025-01-11,2025-01-11_中京09R_渥美特別,2倍台,馬連,5,10,1000,0
2025-01-11,2025-01-11_中京09R_渥美特別,2倍台,馬連,6,15,1500,0
2025-01-11,2025-01-11_中京10R_恵那特別,1倍台,ワイド,3,3,300,500
2025-01-11,2025-01-11_中京10R_恵那特別,1倍台,ワイド,4,6,600,500
2025-01-11,2025-01-11_中京10R_恵那特別,1倍台,ワイド,5,10,1000,500
2025-01-11,2025-01-11_中京10R_恵那特別,1倍台,ワイド,6,15,1500,500
2025-01-11,2025-01-11_中京10R_恵那特別,1倍台,馬連,3,3,300,1230
2025-01-11,2025-01-11_中京10R_恵那特別,1倍台,馬連,4,6,600,1230
2025-01-11,2025-01-11_中京10R_恵那特別,1倍台,馬連,5,10,1000,1230
2025-01-11,2025-01-11_中京10R_恵那特別,1倍台,馬連,6,15,1500,1230
2025-01-11,2025-01-11_中京11R_すばるS,3倍以上,ワイド,3,3,300,0
2025-01-11,2025-01-11_中京11R_すばるS,3倍以上,ワイド,4,6,600,0
2025-01-11,2025-01-11_中京11R_すばるS,3倍以上,ワイド,5,10,1000,0
2025-01-11,2025-01-11_中京11R_すばるS,3倍以上,ワイド,6,15,1500,930
2025-01-11,2025-01-11_中京11R_すばるS,3倍以上,馬連,3,3,300,0
2025-01-11,2025-01-11_中京11R_すばるS,3倍以上,馬連,4,6,600,0
2025-01-11,2025-01-11_中京11R_すばるS,3倍以上,馬連,5,10,1000,0
2025-01-11,2025-01-11_中京11R_すばるS,3倍以上,馬連,6,15,1500,0
2025-01-11,2025-01-11_中京12R_3歳未勝利,3倍以上,ワイド,3,3,300,0
2025-01-11,2025-01-11_中京12R_3歳未勝利,3倍以上,ワイド,4,6,600,0
2025-01-11,2025-01-11_中京12R_3歳未勝利,3倍以上,ワイド,5,10,1000,0
2025-01-11,2025-01-11_中京12R_3歳未勝利,3倍以上,ワイド,6,15,1500,470
2025-01-11,2025-01-11_中京12R_3歳未勝利,3倍以上,馬連,3,3,300,0
2025-01-11,2025-01-11_中京12R_3歳未勝利,3倍以上,馬連,4,6,600,0
2025-01-11,2025-01-11_中京12R_3歳未勝利,3倍以上,馬連,5,10,1000,0
2025-01-11,2025-01-11_中京12R_3歳未勝利,3倍以上,馬連,6,15,1500,0
2025-01-11,2025-01-11_中山09R_黒竹賞,2倍台,ワイド,3,3,300,320
2025-01-11,2025-01-11_中山09R_黒竹賞,2倍台,ワイド,4,6,600,320
2025-01-11,2025-01-11_中山09R_黒竹賞,2倍台,ワイド,5,10,1000,320
2025-01-11,2025-01-11_中山09R_黒竹賞,2倍台,ワイド,6,15,1500,2200
2025-01-11,2025-01-11_中山09R_黒竹賞,2倍台,馬連,3,3,300,810
2025-01-11,2025-01-11_中山09R_黒竹賞,2倍台,馬連,4,6,600,810
2025-01-11,2025-01-11_中山09R_黒竹賞,2倍台,馬連,5,10,1000,810
2025-01-11,2025-01-11_中山09R_黒竹賞,2倍台,馬連,6,15,1500,810
2025-01-11,2025-01-11_中山10R_初凪賞,3倍以上,ワイド,3,3,300,0
2025-01-11,2025-01-11_中山10R_初凪賞,3倍以上,ワイド,4,6,600,460
2025-01-11,2025-01-11_中山10R_初凪賞,3倍以上,ワイド,5,10,1000,460
2025-01-11,2025-01-11_中山10R_初凪賞,3倍以上,ワイド,6,15,1500,460
2025-01-11,2025-01-11_中山10R_初凪賞,3倍以上,馬連,3,3,300,0
2025-01-11,2025-01-11_中山10R_初凪賞,3倍以上,馬連,4,6,600,970
2025-01-11,2025-01-11_中山10R_初凪賞,3倍以上,馬連,5,10,1000,970
2025-01-11,2025-01-11_中山10R_初凪賞,3倍以上,馬連,6,15,1500,970
2025-01-11,2025-01-11_中山11R_迎春S,3倍以上,ワイド,3,3,300,0
2025-01-11,2025-01-11_中山11R_迎春S,3倍以上,ワイド,4,6,600,0
2025-01-11,2025-01-11_中山11R_迎春S,3倍以上,ワイド,5,10,1000,0
2025-01-11,2025-01-11_中山11R_迎春S,3倍以上,ワイド,6,15,1500,0
