馬ID,馬名,日付,場,R,レース名,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,馬場種別,距離,馬場
2022106420,パーティーガール,2026-05-16,新潟,7,4歳以上1勝クラス,13,5,6,143.9,11,11,遠藤汰月,53,ダ,1200,良
2022106420,パーティーガール,2026-02-21,東京,7,4歳以上1勝クラス,16,4,7,95.6,10,15,松岡正海,56,ダ,1400,良
2022106420,パーティーガール,2026-01-01,川崎,12,初詣賞(C1),12,3,3,4.4,2,1,野畑凌,54,ダ,1400,稍
2022106420,パーティーガール,2025-12-15,川崎,7,ベルリン賞(C2),12,4,4,1.6,1,1,野畑凌,54,ダ,1400,重
2022106420,パーティーガール,2025-11-19,川崎,5,C2三 四五(C2四),12,5,5,2.2,1,1,野畑凌,54,ダ,1400,良
2022106420,パーティーガール,2025-10-15,川崎,3,長谷賞(C2八),12,3,3,2.1,1,1,小野楓馬,54,ダ,1400,稍
2022106420,パーティーガール,2025-08-03,新潟,9,3歳未勝利,15,3,5,64.0,10,13,野中悠太,55,ダ,1800,良
2022106420,パーティーガール,2025-07-27,新潟,5,3歳未勝利,15,5,8,16.5,6,11,野中悠太,55,ダ,1200,良
2022106420,パーティーガール,2025-06-07,東京,6,3歳未勝利,16,4,8,27.4,6,12,長浜鴻緒,53,ダ,1300,良
2022106420,パーティーガール,2024-12-07,中山,1,2歳未勝利,16,8,15,8.7,4,6,長浜鴻緒,52,ダ,1200,良
2022106420,パーティーガール,2024-11-17,福島,1,2歳未勝利,16,8,15,17.0,6,4,長浜鴻緒,52,ダ,1150,良
2022106420,パーティーガール,2024-11-02,東京,1,2歳未勝利,14,3,3,70.9,9,3,野中悠太,55,ダ,1300,重
2022106420,パーティーガール,2024-10-19,東京,1,2歳未勝利,15,3,4,166.3,14,10,野中悠太,55,ダ,1400,良
2022106420,パーティーガール,2024-09-21,中山,3,2歳新馬,16,2,3,11.7,7,14,藤田菜七,53,ダ,1800,良
2022104956,インプロペリア,2026-06-13,東京,8,3歳以上1勝クラス,18,1,1,2.5,1,1,ルメール,56,芝,1400,良
2022104956,インプロペリア,2025-03-08,阪神,11,フィリーズレビュー(GII),18,1,1,6.0,2,12,ルメール,55,芝,1400,良
2022104956,インプロペリア,2024-11-16,東京,5,2歳新馬,11,8,10,1.2,1,1,ルメール,55,芝,1600,良
2019105806,ドロップオブライト,2026-07-26,新潟,7,関屋記念(GIII),14,7,11,16.0,10,12,松若風馬,56.5,芝,1600,不
2019105806,ドロップオブライト,2026-05-17,東京,11,ヴィクトリアマイル(GI),18,5,10,87.6,15,18,松若風馬,56,芝,1600,良
2019105806,ドロップオブライト,2026-03-22,中京,11,愛知杯(GIII),18,8,16,5.7,1,10,松若風馬,56,芝,1400,良
2019105806,ドロップオブライト,2026-02-21,阪神,11,阪急杯(GIII),18,3,5,8.8,5,3,松若風馬,55,芝,1400,良
2019105806,ドロップオブライト,2025-12-20,中山,11,ターコイズS(GIII),16,4,8,10.5,5,1,松若風馬,56,芝,1600,良
2019105806,ドロップオブライト,2025-09-28,中山,11,スプリンターズS(GI),16,5,9,178.5,16,14,丹内祐次,56,芝,1200,良
2019105806,ドロップオブライト,2025-09-06,中山,11,京成杯オータムH(GIII),16,2,3,20.4,11,2,松若風馬,56,芝,1600,良
2019105806,ドロップオブライト,2025-08-10,中京,7,CBC賞(GIII),17,2,3,10.2,3,4,松若風馬,56,芝,1200,良
2019105806,ドロップオブライト,2025-07-06,小倉,11,TV西日本北九州記念(GIII),18,6,11,19.1,9,6,小沢大仁,56,芝,1200,良
2019105806,ドロップオブライト,2025-05-25,新潟,11,韋駄天S(OP),16,6,11,4.8,3,10,小沢大仁,56,芝,1000,稍
2019105806,ドロップオブライト,2025-03-30,中京,11,高松宮記念(GI),18,8,17,186.4,17,8,幸英明,56,芝,1200,良
2019105806,ドロップオブライト,2025-01-12,中京,11,淀短距離S(L),18,8,16,10.4,4,7,幸英明,57,芝,1200,良
2019105806,ドロップオブライト,2024-11-24,京都,12,京阪杯(GIII),18,4,7,10.8,7,6,幸英明,56,芝,1200,良
2019105806,ドロップオブライト,2024-08-18,中京,11,CBC賞(GIII),18,1,1,10.8,6,1,幸英明,54,芝,1200,良
2019105806,ドロップオブライト,2024-06-23,東京,11,パラダイスS(L),16,2,4,8.0,4,10,小沢大仁,54,芝,1400,稍
2019105806,ドロップオブライト,2024-05-26,京都,10,安土城S(L),18,1,1,5.6,2,6,小沢大仁,54,芝,1400,良
2019105806,ドロップオブライト,2024-03-24,阪神,11,六甲S(L),15,7,12,17.8,8,3,小沢大仁,55,芝,1600,重
2019105806,ドロップオブライト,2024-02-17,京都,11,京都牝馬S(GIII),18,2,3,46.8,10,9,小沢大仁,55,芝,1400,良
2019105806,ドロップオブライト,2023-12-10,中京,11,知立S(3勝クラス),9,7,7,2.1,1,1,小沢大仁,56,芝,1200,良
2019105806,ドロップオブライト,2023-10-07,京都,10,長岡京S(3勝クラス),15,8,15,11.0,5,2,小沢大仁,55,芝,1400,良
2019105806,ドロップオブライト,2023-09-24,阪神,10,道頓堀S(3勝クラス),16,2,4,8.6,6,3,小沢大仁,55,芝,1200,良
2019105806,ドロップオブライト,2023-07-22,札幌,11,TVh賞(3勝クラス),15,3,5,8.3,3,5,小沢大仁,56,芝,1200,良
2019105806,ドロップオブライト,2023-07-01,函館,11,TVh杯(3勝クラス),16,7,14,13.0,5,2,小沢大仁,54,芝,1200,良
2019105806,ドロップオブライト,2023-06-18,函館,11,UHB杯(3勝クラス),16,6,12,10.8,5,4,小沢大仁,56,芝,1200,良
2019105806,ドロップオブライト,2023-04-29,京都,11,朱雀S(3勝クラス),18,8,16,21.6,7,11,小沢大仁,56,芝,1200,良
2019105806,ドロップオブライト,2023-03-18,中京,10,豊橋S(3勝クラス),12,2,2,24.3,8,3,幸英明,56,芝,1600,重
2019105806,ドロップオブライト,2023-03-05,阪神,10,戎橋S(3勝クラス),10,8,9,18.2,8,6,小沢大仁,53,芝,1400,良
2019105806,ドロップオブライト,2023-02-11,小倉,10,大濠特別(2勝クラス),18,7,15,21.4,10,1,小沢大仁,53,芝,1200,重
2019105806,ドロップオブライト,2022-08-07,札幌,10,HBC賞(2勝クラス),16,3,5,13.2,6,14,鷲頭虎太,52,芝,1200,良
2019105806,ドロップオブライト,2022-07-09,函館,12,3歳以上1勝クラス,14,3,4,5.9,4,1,鷲頭虎太,49,芝,1200,良
2019105806,ドロップオブライト,2022-06-18,函館,1,3歳未勝利,16,3,5,3.4,1,1,鷲頭虎太,51,芝,1200,良
2019105806,ドロップオブライト,2022-05-28,中京,3,3歳未勝利,18,5,9,61.3,8,2,角田大河,51,芝,1400,良
2019105806,ドロップオブライト,2022-03-26,阪神,1,3歳未勝利,16,3,6,85.8,9,13,小沢大仁,52,ダ,1200,良
2021104854,ミナデオロ,2026-08-16,中京,7,中京記念(GIII),16,7,14,37.7,11,5,西塚洸二,57,芝,1600,良
2021104854,ミナデオロ,2026-06-14,阪神,10,花のみちS(3勝クラス),14,5,8,4.8,2,1,ルメール,58,芝,1600,良
2021104854,ミナデオロ,2026-05-17,新潟,11,弥彦S(3勝クラス),16,2,3,5.8,2,8,西塚洸二,58,芝,1800,良
2021104854,ミナデオロ,2026-04-26,京都,10,センテニアルパークS(3勝クラス),18,7,14,23.7,6,13,松本大輝,57,芝,1800,良
2021104854,ミナデオロ,2026-03-14,阪神,10,難波S(3勝クラス),11,6,7,3.9,2,4,川田将雅,58,芝,1800,良
2021104854,ミナデオロ,2026-03-08,阪神,10,岸和田S(3勝クラス),14,5,8,8.0,4,5,西塚洸二,58,芝,1600,良
2021104854,ミナデオロ,2025-09-06,阪神,10,西宮S(3勝クラス),12,5,6,7.3,5,2,西塚洸二,58,芝,1800,良
2021104854,ミナデオロ,2025-08-10,新潟,6,佐渡S(3勝クラス),14,3,4,13.8,6,3,高杉吏麒,58,芝,1800,重
2021104854,ミナデオロ,2025-06-15,阪神,10,花のみちS(3勝クラス),18,5,10,65.5,13,5,西塚洸二,58,芝,1600,稍
2021104854,ミナデオロ,2024-06-30,福島,11,ラジオNIKKEI賞(GIII),12,7,10,19.2,9,10,西塚洸二,57,芝,1800,良
2021104854,ミナデオロ,2024-05-26,京都,11,白百合S(L),9,8,8,7.3,4,1,西塚洸二,57,芝,1800,良
2021104854,ミナデオロ,2024-05-05,京都,5,3歳未勝利,15,3,5,3.6,2,1,西塚洸二,55,芝,1800,良
2021104854,ミナデオロ,2024-04-07,阪神,4,3歳未勝利,14,7,12,4.2,2,5,ムルザバ,57,芝,1800,良
2021104854,ミナデオロ,2024-02-18,京都,5,3歳未勝利,13,2,2,9.0,5,2,ルメート,57,芝,1800,良
2021104854,ミナデオロ,2024-01-27,京都,5,3歳未勝利,9,4,4,19.1,6,3,ルメート,57,芝,1800,良
2021104854,ミナデオロ,2024-01-07,京都,1,3歳未勝利,16,6,12,4.1,2,15,松山弘平,57,ダ,1800,良
2021104854,ミナデオロ,2023-10-28,京都,5,2歳新馬,11,3,3,2.3,1,5,坂井瑠星,56,芝,2000,良
2023101449,サウンドムーブ,2026-07-04,小倉,11,博多S(3勝クラス),14,3,4,2.2,1,2,団野大成,55,芝,1800,稍
2023101449,サウンドムーブ,2026-04-19,中山,11,皐月賞(GI),18,1,2,86.5,17,6,団野大成,57,芝,2000,良
2023101449,サウンドムーブ,2026-03-15,中山,11,フジTVスプリングS(GII),16,8,16,15.0,6,4,団野大成,57,芝,1800,良
2023101449,サウンドムーブ,2026-01-12,京都,11,日刊スポシンザン記念(GIII),16,8,16,7.2,4,2,団野大成,57,芝,1600,良
2023101449,サウンドムーブ,2025-11-30,京都,2,2歳未勝利,13,5,6,2.5,2,1,団野大成,56,芝,1800,良
2023101449,サウンドムーブ,2025-11-08,京都,5,2歳新馬,9,4,4,3.2,2,4,団野大成,56,芝,1800,良
2023106665,ウチュウノセカイ,2026-08-22,札幌,10,オールスターJ第1戦(2勝クラス),14,3,3,7.8,4,13,吉村智洋,56,芝,1200,良
2023106665,ウチュウノセカイ,2026-06-28,函館,12,湯の川温泉特別(2勝クラス),14,3,4,3.7,1,11,原優介,55,芝,1200,良
2023106665,ウチュウノセカイ,2026-05-30,京都,11,葵S(GIII),16,4,8,53.2,13,8,原優介,57,芝,1200,良
2023106665,ウチュウノセカイ,2025-09-20,中山,9,カンナS(OP),13,5,6,28.9,9,1,原優介,55,芝,1200,良
2023106665,ウチュウノセカイ,2025-08-30,札幌,9,すずらん賞(OP),13,6,8,6.2,4,7,古川吉洋,55,芝,1200,稍
2023106665,ウチュウノセカイ,2025-08-17,札幌,1,2歳未勝利,10,7,8,8.9,4,1,丹内祐次,55,芝,1200,良
2023106665,ウチュウノセカイ,2025-08-02,札幌,5,2歳新馬,11,7,8,37.9,8,8,古川吉洋,55,芝,1500,良
2023103326,ディールメーカー,2026-06-28,福島,11,ラジオNIKKEI賞(GIII),16,4,8,14.0,8,2,高杉吏麒,56,芝,1800,良
2023103326,ディールメーカー,2026-04-11,中山,11,ニュージーランドT(GII),15,8,14,7.8,3,4,戸崎圭太,57,芝,1600,良
2023103326,ディールメーカー,2026-03-08,中山,7,3歳1勝クラス,11,4,4,2.8,1,1,坂井瑠星,57,芝,1600,良
2023103326,ディールメーカー,2026-01-10,中山,7,3歳未勝利,16,3,6,3.2,2,1,戸崎圭太,57,芝,1600,良
2023103326,ディールメーカー,2025-07-27,新潟,3,2歳新馬,9,8,8,33.3,5,2,横山琉人,55,芝,1600,良
2023102403,ルンベーラ,2026-08-02,新潟,8,五頭連峰特別(1勝クラス),14,7,11,27.3,8,10,木幡巧也,53,芝,1800,良
2023102403,ルンベーラ,2026-07-11,福島,6,3歳未勝利,16,5,9,12.0,4,1,木幡巧也,55,芝,1800,良
2023102403,ルンベーラ,2026-05-24,東京,1,3歳未勝利,16,8,15,22.9,7,11,田辺裕信,55,ダ,1400,稍
2023102403,ルンベーラ,2026-05-03,東京,1,3歳未勝利,15,2,2,17.4,7,6,佐々木大,55,ダ,1600,稍
2023102403,ルンベーラ,2026-03-15,中山,4,3歳未勝利,16,4,8,8.0,3,16,佐々木大,55,ダ,1800,良
2023102403,ルンベーラ,2026-02-14,京都,6,3歳未勝利,17,5,10,8.1,3,6,西村淳也,55,芝,1800,良
2023102403,ルンベーラ,2025-12-21,中山,3,2歳未勝利,15,4,7,11.1,6,12,丹内祐次,55,芝,1800,重
2023102403,ルンベーラ,2025-11-23,東京,2,2歳未勝利,18,4,8,10.3,3,3,吉田隼人,55,芝,1800,良
2023102403,ルンベーラ,2025-11-02,東京,3,2歳未勝利,10,5,5,25.5,4,2,吉田隼人,55,芝,1800,良
2023102403,ルンベーラ,2025-10-26,新潟,5,2歳新馬,18,7,14,11.5,4,7,吉田隼人,55,芝,1600,稍
2021102246,テーオーダグラス,2026-08-22,札幌,11,オールスターJ第2戦(3勝クラス),14,6,9,16.1,7,7,フーリー,58,芝,2000,良
2021102246,テーオーダグラス,2026-06-27,福島,11,バーデンバーデンC(3勝クラス),9,1,1,20.8,7,4,横山典弘,58,芝,2000,良
2021102246,テーオーダグラス,2026-05-31,東京,10,IFHA杯むらさき賞(3勝クラス),17,8,17,120.2,13,8,ゴンサル,55,芝,1800,良
2021102246,テーオーダグラス,2026-04-26,京都,10,センテニアルパークS(3勝クラス),18,5,9,133.1,17,12,田山旺佑,55,芝,1800,良
2021102246,テーオーダグラス,2026-03-15,阪神,10,甲南S(3勝クラス),14,5,8,21.1,7,13,田山旺佑,56,ダ,1800,良
2021102246,テーオーダグラス,2025-11-23,東京,10,秋色S(3勝クラス),17,7,14,72.1,11,15,丸山元気,56,芝,1600,良
2021102246,テーオーダグラス,2025-11-08,京都,10,清水S(3勝クラス),12,5,5,27.7,8,8,団野大成,58,芝,1600,良
2021102246,テーオーダグラス,2025-09-06,阪神,10,西宮S(3勝クラス),12,8,11,4.6,2,12,川田将雅,58,芝,1800,良
2021102246,テーオーダグラス,2025-08-02,札幌,11,STV賞(3勝クラス),16,6,12,10.3,5,3,佐々木大,57,芝,2000,良
2021102246,テーオーダグラス,2025-07-12,函館,11,五稜郭S(3勝クラス),14,7,12,10.0,6,3,佐々木大,58,芝,1800,良
2021102246,テーオーダグラス,2025-06-08,阪神,9,三木特別(2勝クラス),8,8,8,1.8,1,1,団野大成,58,芝,1800,良
2021102246,テーオーダグラス,2025-04-05,阪神,8,4歳以上2勝クラス,8,4,4,6.5,4,5,Ｍ．デム,58,芝,1800,良
2021102246,テーオーダグラス,2025-03-22,中山,9,館山特別(2勝クラス),13,6,9,11.4,5,3,佐々木大,58,芝,2000,良
2021102246,テーオーダグラス,2025-03-02,小倉,10,別府特別(2勝クラス),16,5,10,8.1,4,3,佐々木大,58,芝,1800,重
2021102246,テーオーダグラス,2024-11-17,京都,12,壬生特別(2勝クラス),12,8,11,14.3,5,9,武豊,57,芝,1600,良
2021102246,テーオーダグラス,2024-10-27,京都,9,北野特別(2勝クラス),8,6,6,6.2,4,4,団野大成,54,芝,2000,良
2021102246,テーオーダグラス,2024-10-19,新潟,10,村上特別(2勝クラス),14,1,1,8.5,5,12,永島まな,56,芝,2000,稍
2021102246,テーオーダグラス,2024-07-21,小倉,7,3歳以上1勝クラス,12,7,10,3.8,2,1,永島まな,53,芝,1800,良
2021102246,テーオーダグラス,2024-06-22,京都,12,3歳以上1勝クラス,15,2,2,19.4,5,2,永島まな,53,芝,1600,良
2021102246,テーオーダグラス,2024-06-02,京都,7,3歳以上1勝クラス,9,8,8,5.0,3,2,永島まな,53,芝,1800,良
2021102246,テーオーダグラス,2024-05-11,京都,9,あずさ賞(1勝クラス),11,4,4,12.5,5,8,酒井学,57,芝,2000,良
2021102246,テーオーダグラス,2024-04-20,京都,9,あやめ賞(1勝クラス),7,6,6,4.8,4,3,西村淳也,57,芝,1800,良
2021102246,テーオーダグラス,2024-04-06,福島,9,ひめさゆり賞(1勝クラス),13,8,13,28.7,8,9,永島まな,57,芝,2000,良
2021102246,テーオーダグラス,2024-02-10,京都,5,3歳未勝利,12,5,6,27.3,8,1,永島まな,54,芝,2000,良
2021102246,テーオーダグラス,2024-01-28,小倉,6,3歳未勝利,15,3,4,6.6,3,6,佐々木大,56,芝,2000,良
2021102246,テーオーダグラス,2023-09-17,阪神,5,2歳新馬,9,5,5,4.7,3,5,モレイラ,55,芝,2000,良
2022105885,ショーダンサー,2026-04-26,京都,12,4歳以上2勝クラス,14,6,10,12.1,7,9,古川吉洋,58,ダ,1800,良
2022105885,ショーダンサー,2026-04-05,阪神,7,4歳以上2勝クラス,15,2,3,10.4,4,3,古川吉洋,58,ダ,1800,重
2022105885,ショーダンサー,2026-03-08,阪神,8,4歳以上2勝クラス,9,7,7,3.3,2,4,国分優作,58,ダ,1800,良
2022105885,ショーダンサー,2026-01-18,京都,10,大津特別(2勝クラス),16,4,8,4.7,3,3,国分優作,57,ダ,1800,良
2022105885,ショーダンサー,2025-12-28,阪神,8,3歳以上2勝クラス,13,3,3,4.7,3,2,国分優作,57,ダ,1800,良
2022105885,ショーダンサー,2025-09-13,阪神,10,鳥取特別(2勝クラス),9,6,6,4.0,3,5,国分優作,55,ダ,1800,良
2022105885,ショーダンサー,2025-08-24,中京,10,大府特別(2勝クラス),16,8,16,2.8,1,3,国分優作,55,ダ,1800,良
2022105885,ショーダンサー,2025-08-02,中京,9,3歳以上1勝クラス,10,1,1,3.4,2,1,国分優作,55,ダ,1800,良
2022105885,ショーダンサー,2025-04-12,阪神,5,3歳1勝クラス,11,3,3,13.8,5,3,古川吉洋,57,ダ,1800,良
2022105885,ショーダンサー,2025-03-23,阪神,6,3歳1勝クラス,16,2,4,7.2,4,6,古川吉洋,57,ダ,1800,良
2022105885,ショーダンサー,2024-12-15,京都,6,2歳新馬,16,5,9,34.8,9,1,国分優作,56,ダ,1800,良
2022100933,エルサトアナ,2026-08-15,札幌,10,知床特別(2勝クラス),16,8,16,54.6,13,13,菱田裕二,56,芝,1200,良
2022100933,エルサトアナ,2026-07-11,函館,10,HTB杯(2勝クラス),14,6,10,50.9,11,12,遠藤汰月,56,芝,1200,稍
2022100933,エルサトアナ,2026-06-28,函館,12,湯の川温泉特別(2勝クラス),14,2,2,6.8,3,13,池添謙一,56,芝,1200,良
2022100933,エルサトアナ,2026-04-12,阪神,7,4歳以上2勝クラス,11,1,1,21.5,4,9,今村聖奈,54,芝,1600,良
2022100933,エルサトアナ,2026-03-15,阪神,12,4歳以上2勝クラス,13,7,11,74.5,12,7,田山旺佑,53,ダ,1400,良
2022100933,エルサトアナ,2026-01-18,京都,9,小倉山特別(2勝クラス),16,3,5,320.0,16,16,太宰啓介,55,ダ,1400,良
2022100933,エルサトアナ,2025-12-20,阪神,12,3歳以上2勝クラス,16,8,16,35.2,9,11,太宰啓介,55,芝,1200,良
2022100933,エルサトアナ,2025-11-15,京都,9,深草特別(2勝クラス),15,2,3,16.8,4,8,武豊,55,ダ,1200,良
2022100933,エルサトアナ,2025-10-05,京都,12,3歳以上2勝クラス,16,1,1,9.2,6,8,松本大輝,54,芝,1200,稍
2022100933,エルサトアナ,2025-08-16,札幌,10,知床特別(2勝クラス),13,5,7,7.7,6,5,松本大輝,54,芝,1200,良
2022100933,エルサトアナ,2025-06-28,函館,9,長万部特別(1勝クラス),8,3,3,6.0,3,1,松本大輝,53,芝,1200,良
2022100933,エルサトアナ,2025-06-15,函館,1,3歳未勝利,16,5,10,3.2,1,1,松本大輝,54,芝,1200,良
2022100933,エルサトアナ,2025-05-24,京都,1,3歳未勝利,16,4,8,30.3,9,2,和田陽希,52,ダ,1200,良
2022100933,エルサトアナ,2025-04-06,阪神,1,3歳未勝利,16,1,2,8.2,4,6,松本大輝,54,ダ,1200,良
2022100933,エルサトアナ,2025-03-16,阪神,1,3歳未勝利,16,1,2,7.3,3,2,松本大輝,54,ダ,1200,稍
2022100933,エルサトアナ,2025-02-23,小倉,2,3歳未勝利,18,7,14,14.5,5,3,松本大輝,54,芝,1200,良
2022100933,エルサトアナ,2025-02-02,小倉,2,3歳未勝利,16,4,7,27.6,9,5,松本大輝,54,芝,1200,重
2022100933,エルサトアナ,2025-01-18,中京,3,3歳新馬,16,1,1,91.7,12,2,松本大輝,54,ダ,1400,良
2022103556,キープサインオン,2026-07-11,函館,10,HTB杯(2勝クラス),14,4,6,45.8,9,3,浜中俊,58,芝,1200,稍
2022103556,キープサインオン,2026-06-28,函館,12,湯の川温泉特別(2勝クラス),14,4,5,25.5,9,10,岩田望来,58,芝,1200,良
2022103556,キープサインオン,2026-06-20,函館,11,STV杯(2勝クラス),16,1,1,48.0,12,6,岩田康誠,58,芝,1200,良
2022103556,キープサインオン,2025-11-09,東京,12,3歳以上2勝クラス,18,8,16,55.5,10,16,鮫島克駿,57,芝,1400,良
2022103556,キープサインオン,2025-09-13,中山,10,汐留特別(2勝クラス),11,8,10,5.2,3,8,戸崎圭太,56,芝,1200,稍
2022103556,キープサインオン,2025-07-13,福島,7,3歳以上1勝クラス,15,2,2,5.3,3,1,横山典弘,55,芝,1200,良
2022103556,キープサインオン,2025-04-13,中山,8,3歳1勝クラス,16,2,3,22.2,8,14,横山典弘,57,ダ,1200,良
2022103556,キープサインオン,2025-03-22,中山,3,3歳未勝利,16,1,2,9.1,4,1,鮫島克駿,57,ダ,1200,重
2022103556,キープサインオン,2025-02-01,東京,1,3歳未勝利,16,7,13,21.3,7,9,団野大成,57,ダ,1400,良
2022103556,キープサインオン,2024-09-14,中山,3,2歳未勝利,14,8,13,1.9,1,7,戸崎圭太,55,芝,1200,良
2022103556,キープサインオン,2024-07-20,福島,6,2歳新馬,13,5,7,3.8,3,2,三浦皇成,55,芝,1200,良
2021101595,ヴィヴァクラウン,2026-08-22,札幌,10,オールスターJ第1戦(2勝クラス),14,8,14,18.0,8,11,フーリー,58,芝,1200,良
2021101595,ヴィヴァクラウン,2026-07-11,函館,10,HTB杯(2勝クラス),14,7,12,6.8,3,7,横山武史,58,芝,1200,稍
2021101595,ヴィヴァクラウン,2026-06-28,函館,12,湯の川温泉特別(2勝クラス),14,4,6,8.9,5,6,大野拓弥,58,芝,1200,良
2021101595,ヴィヴァクラウン,2026-06-14,函館,11,函館日刊スポーツ杯(2勝クラス),16,7,13,20.6,9,3,横山琉人,58,芝,1200,良
2021101595,ヴィヴァクラウン,2026-04-18,中山,9,袖ケ浦特別(2勝クラス),12,7,10,48.4,9,6,大野拓弥,58,芝,1200,良
2021101595,ヴィヴァクラウン,2026-03-29,中山,12,4歳以上2勝クラス,11,6,6,6.8,4,9,舟山瑠泉,55,芝,1200,良
2021101595,ヴィヴァクラウン,2026-03-01,小倉,7,4歳以上1勝クラス,18,3,6,24.8,10,1,舟山瑠泉,55,芝,1200,良
2021101595,ヴィヴァクラウン,2026-01-25,小倉,9,八幡特別(1勝クラス),16,6,11,51.1,10,10,水沼元輝,58,芝,1200,良
2021101595,ヴィヴァクラウン,2025-11-22,福島,12,3歳以上1勝クラス,16,1,1,49.6,13,12,木幡巧也,58,芝,1200,良
2021101595,ヴィヴァクラウン,2025-11-09,福島,12,3歳以上1勝クラス,16,3,5,31.4,7,5,佐藤翔馬,55,芝,1200,良
2021101595,ヴィヴァクラウン,2025-10-18,東京,7,3歳以上1勝クラス,17,8,15,122.3,14,14,木幡巧也,58,芝,1400,良
2021101595,ヴィヴァクラウン,2024-08-03,札幌,9,旭川特別(1勝クラス),14,3,4,15.9,5,13,大野拓弥,55,芝,1500,良
2021101595,ヴィヴァクラウン,2024-06-22,函館,3,3歳未勝利,16,1,2,5.7,3,1,大野拓弥,57,芝,1200,良
2021101595,ヴィヴァクラウン,2024-05-25,東京,3,3歳未勝利,18,3,5,3.4,2,7,大野拓弥,57,芝,1400,良
2021101595,ヴィヴァクラウン,2024-04-28,東京,4,3歳未勝利,18,4,8,3.4,1,2,田辺裕信,57,芝,1400,良
2021101595,ヴィヴァクラウン,2024-04-13,福島,2,3歳未勝利,16,4,7,3.0,2,2,吉田隼人,57,芝,1200,良
2021101595,ヴィヴァクラウン,2024-03-17,中山,5,3歳未勝利,16,5,9,4.3,3,4,大野拓弥,57,芝,1600,良
2021101595,ヴィヴァクラウン,2024-02-24,中山,7,3歳1勝クラス,11,8,10,4.7,2,3,大野拓弥,57,芝,1600,稍
2021101595,ヴィヴァクラウン,2024-01-07,中山,5,3歳未勝利,16,8,15,28.0,9,3,大野拓弥,57,芝,1600,良
2021101595,ヴィヴァクラウン,2023-11-26,東京,4,2歳未勝利,14,2,2,54.5,7,7,大野拓弥,56,芝,2000,良
2021101595,ヴィヴァクラウン,2023-11-05,東京,4,2歳未勝利,6,1,1,12.4,3,4,大野拓弥,56,芝,1800,良
2021101595,ヴィヴァクラウン,2023-10-22,東京,2,2歳未勝利,11,7,8,13.6,5,3,大野拓弥,56,芝,1600,良
2021101595,ヴィヴァクラウン,2023-08-12,札幌,1,2歳未勝利,9,3,3,7.1,4,4,浜中俊,55,芝,1800,良
2021101595,ヴィヴァクラウン,2023-07-29,札幌,1,2歳未勝利,9,7,7,24.7,7,3,浜中俊,55,芝,1800,良
2021101595,ヴィヴァクラウン,2023-07-09,函館,5,2歳新馬,9,4,4,13.4,4,4,浜中俊,55,芝,1800,良
2021103595,ビーコング,2026-08-22,札幌,10,オールスターJ第1戦(2勝クラス),14,7,11,8.6,5,4,レーン,58,芝,1200,良
2021103595,ビーコング,2026-06-28,函館,12,湯の川温泉特別(2勝クラス),14,5,7,118.6,14,3,松本大輝,58,芝,1200,良
2021103595,ビーコング,2026-06-20,函館,11,STV杯(2勝クラス),16,6,11,113.9,16,11,池添謙一,58,芝,1200,良
2021103595,ビーコング,2026-05-30,東京,9,富嶽賞(2勝クラス),16,6,12,62.9,12,8,横山武史,58,ダ,1400,良
