日付,場,馬場種別,馬場差,レース数
2023-12-09,中山,芝,-0.75,2
2023-12-09,阪神,芝,-0.10,3
2023-12-10,中京,芝,-1.50,3
2023-12-10,中山,ダ,-2.20,2
2023-12-10,中山,芝,-1.40,2
2023-12-10,阪神,ダ,-0.85,2
2023-12-10,阪神,芝,-0.80,2
2023-12-16,中京,芝,-0.10,3
2023-12-16,中山,ダ,-0.60,3
2023-12-16,阪神,芝,-0.30,3
2023-12-17,中京,ダ,-0.35,2
2023-12-17,中京,芝,+0.35,2
2023-12-17,中山,芝,+0.10,3
2023-12-17,阪神,ダ,-0.65,2
2023-12-17,阪神,芝,-0.55,2
2023-12-23,中山,芝,+0.20,3
2023-12-23,阪神,芝,-0.40,3
2023-12-24,中山,芝,-1.00,3
2023-12-24,阪神,ダ,-0.70,2
2023-12-24,阪神,芝,-0.70,2
2023-12-28,中山,ダ,-0.60,2
2023-12-28,中山,芝,-0.80,2
2023-12-28,阪神,ダ,-0.90,2
2023-12-28,阪神,芝,+0.05,2
2024-01-06,中山,芝,-1.80,3
2024-01-06,京都,芝,-0.10,3
2024-01-07,中山,ダ,-0.80,2
2024-01-07,中山,芝,-0.50,2
2024-01-07,京都,芝,+1.00,3
2024-01-08,中山,ダ,+1.25,2
2024-01-08,中山,芝,-1.20,2
2024-01-08,京都,芝,+0.30,3
2024-01-13,中山,芝,-0.80,3
2024-01-13,京都,芝,+0.90,3
2024-01-13,小倉,芝,-1.10,3
2024-01-14,中山,芝,+0.20,3
2024-01-14,京都,芝,+0.00,3
2024-01-14,小倉,芝,-1.90,3
2024-01-20,中山,芝,-1.10,3
2024-01-20,京都,芝,+2.30,3
2024-01-20,小倉,芝,+0.00,3
2024-01-21,中山,芝,+3.00,3
2024-01-21,京都,ダ,-2.90,2
2024-01-21,京都,芝,+1.85,2
2024-01-21,小倉,芝,+0.40,3
2024-01-27,京都,ダ,-1.00,2
2024-01-27,京都,芝,+2.00,2
2024-01-27,小倉,芝,-0.70,3
2024-01-27,東京,芝,-0.50,3
2024-01-28,京都,芝,-0.90,3
2024-01-28,小倉,芝,+0.30,3
2024-01-28,東京,芝,-1.10,3
2024-02-03,京都,ダ,-1.40,3
2024-02-03,小倉,芝,+0.80,3
2024-02-03,東京,芝,-1.50,3
2024-02-04,京都,ダ,-0.70,2
2024-02-04,京都,芝,-0.35,2
2024-02-04,小倉,芝,+1.10,3
2024-02-04,東京,ダ,-0.60,2
2024-02-04,東京,芝,-0.20,2
2024-02-10,京都,芝,+0.10,3
2024-02-10,小倉,芝,-0.80,3
2024-02-10,東京,芝,-1.10,3
2024-02-11,京都,ダ,-0.45,2
2024-02-11,京都,芝,-0.40,2
2024-02-11,小倉,芝,-0.80,3
2024-02-11,東京,ダ,-0.10,2
2024-02-11,東京,芝,-0.05,2
2024-02-17,京都,ダ,-1.50,2
2024-02-17,京都,芝,-0.60,2
2024-02-17,小倉,芝,-2.30,3
2024-02-17,東京,ダ,+0.00,2
2024-02-17,東京,芝,-0.90,2
2024-02-18,京都,ダ,-0.90,2
2024-02-18,京都,芝,-0.75,2
2024-02-18,小倉,芝,-1.50,3
2024-02-18,東京,ダ,-1.00,3
2024-02-24,中山,芝,-0.10,3
2024-02-24,小倉,芝,+0.00,3
2024-02-24,阪神,ダ,-1.85,2
2024-02-24,阪神,芝,-0.70,2
2024-02-25,中山,ダ,-1.15,2
2024-02-25,中山,芝,+0.95,2
2024-02-25,小倉,芝,+0.80,3
2024-02-25,阪神,芝,+0.10,3
2024-03-02,中山,ダ,-0.80,2
2024-03-02,中山,芝,+0.15,2
2024-03-02,小倉,芝,+0.50,3
2024-03-02,阪神,芝,-0.30,3
2024-03-03,中山,ダ,-1.55,2
2024-03-03,中山,芝,-0.85,2
2024-03-03,小倉,芝,+0.10,3
2024-03-03,阪神,ダ,-0.75,2
2024-03-03,阪神,芝,-0.55,2
2024-03-09,中京,ダ,-0.05,2
2024-03-09,中京,芝,-0.65,2
2024-03-09,中山,芝,+0.90,3
2024-03-09,阪神,ダ,-0.55,2
2024-03-09,阪神,芝,+0.45,2
2024-03-10,中京,ダ,-0.70,2
2024-03-10,中京,芝,-2.35,2
2024-03-10,中山,芝,+0.40,3
2024-03-10,阪神,ダ,-0.50,2
2024-03-10,阪神,芝,-0.80,2
2024-03-16,中京,ダ,-0.80,2
2024-03-16,中京,芝,-1.50,2
2024-03-16,中山,ダ,-1.70,2
2024-03-16,中山,芝,-0.60,2
2024-03-16,阪神,芝,-0.20,3
2024-03-17,中京,ダ,-1.85,2
2024-03-17,中京,芝,-0.10,2
2024-03-17,中山,ダ,-0.70,2
2024-03-17,中山,芝,+0.10,2
2024-03-17,阪神,ダ,-1.05,2
2024-03-17,阪神,芝,-0.22,2
2024-03-23,中京,ダ,-4.00,2
2024-03-23,中京,芝,+1.30,2
2024-03-23,中山,ダ,-0.10,3
2024-03-23,阪神,芝,+1.50,3
2024-03-24,中京,ダ,-3.35,2
2024-03-24,中京,芝,+1.50,2
2024-03-24,中山,ダ,-1.60,2
2024-03-24,中山,芝,-1.05,2
2024-03-24,阪神,芝,+1.80,3
2024-03-30,中山,ダ,-1.65,2
2024-03-30,中山,芝,+0.10,2
2024-03-30,阪神,ダ,-1.40,2
2024-03-30,阪神,芝,-0.55,2
2024-03-31,中山,ダ,-0.70,2
2024-03-31,中山,芝,-2.30,2
2024-03-31,阪神,ダ,-0.65,2
2024-03-31,阪神,芝,-1.20,2
2024-04-06,中山,ダ,-0.60,2
2024-04-06,中山,芝,+0.15,2
2024-04-06,福島,芝,-1.00,3
2024-04-06,阪神,芝,-1.10,3
2024-04-07,中山,ダ,-2.00,3
2024-04-07,福島,ダ,-0.80,2
2024-04-07,福島,芝,-1.75,2
2024-04-07,阪神,芝,-1.10,3
2024-04-13,中山,ダ,-1.60,2
2024-04-13,福島,ダ,-0.20,2
2024-04-13,福島,芝,-1.05,2
2024-04-13,阪神,ダ,-1.15,2
2024-04-13,阪神,芝,-0.25,2
2024-04-14,中山,芝,-2.70,3
2024-04-14,福島,芝,-2.30,3
2024-04-14,阪神,芝,-1.50,2
2024-04-20,京都,ダ,-0.95,2
2024-04-20,京都,芝,-1.15,2
