stem,race_id,距離,馬場種別,馬場,天候,頭数,レース名
2026-01-14_大井12R_初夢賞競走(B2),202644011412,1400,ダ,良,晴,14,初夢賞競走(B2)
2026-01-15_大井01R_C3一,202644011501,2000,ダ,良,晴,12,C3一
2026-01-15_大井02R_3歳二三,202644011502,1400,ダ,良,晴,6,3歳二三
2026-01-15_大井03R_3歳二三,202644011503,1200,ダ,良,晴,8,3歳二三
2026-01-15_大井04R_烏山川賞(C2),202644011504,1600,ダ,良,晴,14,烏山川賞(C2)
2026-01-15_大井05R_C2八九,202644011505,1200,ダ,良,晴,15,C2八九
2026-01-15_大井06R_C2六七,202644011506,1600,ダ,良,晴,14,C2六七
2026-01-15_大井07R_C2六七,202644011507,1200,ダ,良,晴,11,C2六七
2026-01-15_大井08R_サルビア特別競走(3歳),202644011508,1700,ダ,良,晴,7,サルビア特別競走(3歳)
2026-01-15_大井09R_C1五六,202644011509,1600,ダ,良,晴,12,C1五六
2026-01-15_大井10R_C1五六,202644011510,1200,ダ,良,晴,12,C1五六
2026-01-15_大井11R_初富士賞競走(A2B1),202644011511,1400,ダ,良,晴,11,初富士賞競走(A2B1)
2026-01-15_大井12R_銀嶺賞競走(B1B2),202644011512,1650,ダ,良,晴,8,銀嶺賞競走(B1B2)
2026-01-16_大井01R_C3二三,202644011601,1600,ダ,良,晴,14,C3二三
2026-01-16_大井02R_C3二三,202644011602,1200,ダ,良,晴,16,C3二三
2026-01-16_大井03R_C2二,202644011603,1000,ダ,良,晴,11,C2二
2026-01-16_大井04R_呑川賞(C2四),202644011604,1600,ダ,良,晴,14,呑川賞(C2四)
2026-01-16_大井05R_C2三四五(C2四),202644011605,1400,ダ,良,晴,12,C2三四五(C2四)
2026-01-16_大井06R_C2三四五(C2四),202644011606,1200,ダ,良,晴,13,C2三四五(C2四)
2026-01-16_大井07R_B3五,202644011607,1200,ダ,良,晴,9,B3五
2026-01-16_大井08R_C1二三四(C1三),202644011608,1600,ダ,良,晴,12,C1二三四(C1三)
2026-01-16_大井09R_C1二三四(C1三),202644011609,1200,ダ,良,晴,12,C1二三四(C1三)
2026-01-16_大井10R_おおいぬ座特別競走(C1三),202644011610,1400,ダ,良,晴,11,おおいぬ座特別競走(C1三)
2026-01-16_大井11R_睦月賞競走(B1B2),202644011611,1200,ダ,良,晴,11,睦月賞競走(B1B2)
2026-01-16_大井12R_道玄坂賞競走(B3),202644011612,1400,ダ,良,晴,14,道玄坂賞競走(B3)
2026-01-26_大井01R_C3八九,202644012601,1400,ダ,良,晴,11,C3八九
2026-01-26_大井02R_C3八九,202644012602,1200,ダ,良,晴,14,C3八九
2026-01-26_大井03R_3歳新馬,202644012603,1200,ダ,良,晴,9,3歳新馬
2026-01-26_大井04R_北沢川賞(3歳),202644012604,1400,ダ,良,晴,13,北沢川賞(3歳)
2026-01-26_大井05R_3歳1213,202644012605,1200,ダ,良,晴,13,3歳1213
2026-01-26_大井06R_C21617,202644012606,1600,ダ,良,晴,12,C21617
2026-01-26_大井07R_C21617,202644012607,1200,ダ,良,晴,14,C21617
2026-01-26_大井08R_C21415,202644012608,1600,ダ,良,晴,13,C21415
2026-01-26_大井09R_C21415,202644012609,1200,ダ,良,晴,11,C21415
2026-01-26_大井10R_百反坂賞競走(B3),202644012610,1600,ダ,良,晴,13,百反坂賞競走(B3)
2026-01-26_大井11R_ジュエリーアイス賞競走(A2B1),202644012611,1600,ダ,良,晴,9,ジュエリーアイス賞競走(A2B1)
2026-01-26_大井12R_白富士賞競走(B2B3),202644012612,1800,ダ,良,晴,15,白富士賞競走(B2B3)
2026-01-27_大井01R_C3六七,202644012701,1200,ダ,良,晴,14,C3六七
2026-01-27_大井02R_C3六七,202644012702,1600,ダ,良,晴,14,C3六七
2026-01-27_大井03R_3歳十11,202644012703,1400,ダ,良,晴,11,3歳十11
2026-01-27_大井04R_仙川賞(3歳),202644012704,1200,ダ,良,晴,13,仙川賞(3歳)
2026-01-27_大井05R_3歳八九,202644012705,1400,ダ,良,晴,12,3歳八九
2026-01-27_大井06R_3歳八九,202644012706,1200,ダ,良,晴,12,3歳八九
2026-01-27_大井07R_C2111213(C212),202644012707,1600,ダ,良,晴,12,C2111213(C212)
2026-01-27_大井08R_C2111213(C212),202644012708,1400,ダ,良,晴,14,C2111213(C212)
2026-01-27_大井09R_C2111213(C212),202644012709,1200,ダ,良,晴,14,C2111213(C212)
2026-01-27_大井10R_冬牡丹特別競走(C2),202644012710,1200,ダ,良,晴,16,冬牡丹特別競走(C2)
2026-01-27_大井11R_ガーネット賞競走(B2),202644012711,1200,ダ,良,晴,13,ガーネット賞競走(B2)
2026-01-27_大井12R_小石川見附特別競走(C1),202644012712,2000,ダ,良,晴,13,小石川見附特別競走(C1)
2026-01-28_大井01R_C3四五,202644012801,1200,ダ,良,晴,12,C3四五
2026-01-28_大井02R_C3四五,202644012802,1600,ダ,良,晴,14,C3四五
2026-01-28_大井03R_3歳六七,202644012803,1400,ダ,良,晴,14,3歳六七
2026-01-28_大井04R_残堀川賞(3歳),202644012804,1200,ダ,良,晴,11,残堀川賞(3歳)
2026-01-28_大井05R_C2八九十(C2九),202644012805,1600,ダ,良,晴,10,C2八九十(C2九)
2026-01-28_大井06R_C2八九十(C2九),202644012806,1400,ダ,良,晴,12,C2八九十(C2九)
2026-01-28_大井07R_C2八九十(C2九),202644012807,1200,ダ,良,晴,13,C2八九十(C2九)
2026-01-28_大井08R_C1八九,202644012808,1600,ダ,良,晴,14,C1八九
2026-01-28_大井09R_C1八九,202644012809,1200,ダ,良,曇,9,C1八九
2026-01-28_大井10R_別所坂賞競走(B3),202644012810,1200,ダ,良,曇,13,別所坂賞競走(B3)
2026-01-28_大井11R_金盃競走,202644012811,2600,ダ,良,曇,15,金盃競走
2026-01-28_大井12R_スノーフレーク賞競走(B1B2),202644012812,1400,ダ,良,曇,12,スノーフレーク賞競走(B1B2)
2026-01-29_大井01R_C3一二三(C3二),202644012901,1400,ダ,良,晴,12,C3一二三(C3二)
2026-01-29_大井02R_C3一二三(C3二),202644012902,1600,ダ,良,晴,14,C3一二三(C3二)
2026-01-29_大井03R_C3一二三(C3二),202644012903,1200,ダ,良,晴,13,C3一二三(C3二)
2026-01-29_大井04R_鯉川賞(3歳),202644012904,1600,ダ,良,晴,12,鯉川賞(3歳)
2026-01-29_大井05R_3歳四五,202644012905,1200,ダ,良,晴,7,3歳四五
2026-01-29_大井06R_C2六七,202644012906,1600,ダ,良,晴,9,C2六七
2026-01-29_大井07R_C2六七,202644012907,1200,ダ,良,晴,14,C2六七
2026-01-29_大井08R_フロストフラワー賞競走(A2),202644012908,1200,ダ,良,晴,8,フロストフラワー賞競走(A2)
2026-01-29_大井09R_C1六七,202644012909,1600,ダ,良,晴,8,C1六七
2026-01-29_大井10R_C1六七,202644012910,1200,ダ,良,晴,15,C1六七
2026-01-29_大井11R_’26桃花賞(3歳),202644012911,1600,ダ,良,晴,11,’26桃花賞(3歳)
2026-01-29_大井12R_風花特別競走(C1C2),202644012912,1650,ダ,良,晴,14,風花特別競走(C1C2)
2026-01-30_大井01R_C3選抜牝馬,202644013001,1400,ダ,良,晴,12,C3選抜牝馬
2026-01-30_大井02R_3歳一二三(3歳二),202644013002,1600,ダ,良,晴,9,3歳一二三(3歳二)
2026-01-30_大井03R_3歳一二三(3歳二),202644013003,1400,ダ,良,晴,8,3歳一二三(3歳二)
2026-01-30_大井04R_鳶巣川賞(3歳二),202644013004,1200,ダ,良,晴,10,鳶巣川賞(3歳二)
2026-01-30_大井05R_C2三四五(C2四),202644013005,1600,ダ,良,晴,13,C2三四五(C2四)
2026-01-30_大井06R_C2三四五(C2四),202644013006,1400,ダ,良,晴,14,C2三四五(C2四)
2026-01-30_大井07R_C2三四五(C2四),202644013007,1200,ダ,良,晴,10,C2三四五(C2四)
2026-01-30_大井08R_C1三四五(C1四),202644013008,1600,ダ,良,晴,13,C1三四五(C1四)
2026-01-30_大井09R_C1三四五(C1四),202644013009,1400,ダ,良,晴,12,C1三四五(C1四)
2026-01-30_大井10R_初凪特別競走(C2),202644013010,1800,ダ,良,晴,16,初凪特別競走(C2)
2026-01-30_大井11R_狸坂賞競走(B3),202644013011,1400,ダ,良,晴,12,狸坂賞競走(B3)
2026-01-30_大井12R_筋違見附特別競走(C1四),202644013012,1200,ダ,良,晴,14,筋違見附特別競走(C1四)
2026-02-16_大井01R_C3八九,202644021601,1200,ダ,良,晴,16,C3八九
2026-02-16_大井02R_C3八九,202644021602,1600,ダ,良,晴,12,C3八九
2026-02-16_大井03R_3歳選抜牝馬,202644021603,1200,ダ,良,晴,11,3歳選抜牝馬
2026-02-16_大井04R_九品仏川賞(3歳),202644021604,1400,ダ,良,晴,12,九品仏川賞(3歳)
2026-02-16_大井05R_3歳1112,202644021605,1200,ダ,良,晴,13,3歳1112
2026-02-16_大井06R_C21516,202644021606,1600,ダ,良,晴,13,C21516
2026-02-16_大井07R_C21516,202644021607,1200,ダ,良,晴,14,C21516
2026-02-16_大井08R_ダイヤモンドダスト賞競走(B2),202644021608,1600,ダ,良,晴,13,ダイヤモンドダスト賞競走(B2)
2026-02-16_大井09R_C1七八,202644021609,1600,ダ,良,晴,10,C1七八
2026-02-16_大井10R_C1七八,202644021610,1200,ダ,良,曇,14,C1七八
2026-02-16_大井11R_如月賞競走(A2B1),202644021611,1400,ダ,良,曇,16,如月賞競走(A2B1)
2026-02-16_大井12R_赤坂見附特別競走(C1),202644021612,1800,ダ,良,曇,14,赤坂見附特別競走(C1)
2026-02-17_大井01R_C3六七,202644021701,1200,ダ,稍,曇,15,C3六七
2026-02-17_大井02R_C3六七,202644021702,1600,ダ,稍,晴,13,C3六七
2026-02-17_大井03R_3歳九十,202644021703,1400,ダ,稍,晴,13,3歳九十
2026-02-17_大井04R_古川賞(3歳),202644021704,1200,ダ,稍,晴,12,古川賞(3歳)
2026-02-17_大井05R_C2121314(C213),202644021705,1600,ダ,稍,曇,14,C2121314(C213)
2026-02-17_大井06R_C2121314(C213),202644021706,1400,ダ,稍,曇,12,C2121314(C213)
2026-02-17_大井07R_C2121314(C213),202644021707,1200,ダ,稍,曇,15,C2121314(C213)
2026-02-17_大井08R_C1五六,202644021708,1600,ダ,稍,曇,10,C1五六
2026-02-17_大井09R_C1五六,202644021709,1200,ダ,稍,曇,12,C1五六
2026-02-17_大井10R_河津桜特別競走(C1C2),202644021710,1600,ダ,稍,曇,13,河津桜特別競走(C1C2)
2026-02-17_大井11R_品川オープン競走(4上),202644021711,1800,ダ,稍,曇,15,品川オープン競走(4上)
2026-02-17_大井12R_狸穴坂賞競走(B3),202644021712,1800,ダ,稍,曇,16,狸穴坂賞競走(B3)
2026-02-18_大井01R_C3四五,202644021801,1200,ダ,稍,晴,13,C3四五
2026-02-18_大井02R_C3四五,202644021802,1600,ダ,稍,晴,14,C3四五
2026-02-18_大井03R_C2十11,202644021803,1600,ダ,稍,晴,14,C2十11
2026-02-18_大井04R_渋谷川賞(C2),202644021804,1200,ダ,稍,晴,14,渋谷川賞(C2)
2026-02-18_大井05R_C2八九,202644021805,1600,ダ,稍,晴,12,C2八九
2026-02-18_大井06R_C2八九,202644021806,1200,ダ,稍,晴,16,C2八九
2026-02-18_大井07R_C1二三四(C1三),202644021807,1600,ダ,稍,晴,14,C1二三四(C1三)
2026-02-18_大井08R_C1二三四(C1三),202644021808,1400,ダ,稍,晴,14,C1二三四(C1三)
2026-02-18_大井09R_クロッカス特別競走(3歳),202644021809,1400,ダ,稍,晴,11,クロッカス特別競走(3歳)
2026-02-18_大井10R_大手門特別競走(C1三),202644021810,1200,ダ,稍,晴,11,大手門特別競走(C1三)
2026-02-18_大井11R_雲取賞競走,202644021811,1800,ダ,良,晴,16,雲取賞競走
2026-02-18_大井12R_フェブラリー賞競走(B1B2),202644021812,1200,ダ,良,晴,13,フェブラリー賞競走(B1B2)
2026-02-19_大井01R_C3二三,202644021901,1200,ダ,良,晴,16,C3二三
2026-02-19_大井02R_C3二三,202644021902,1600,ダ,良,晴,14,C3二三
2026-02-19_大井03R_C3一,202644021903,1800,ダ,良,晴,14,C3一
2026-02-19_大井04R_境川賞(3歳七),202644021904,1600,ダ,良,晴,11,境川賞(3歳七)
2026-02-19_大井05R_3歳六七八(3歳七),202644021905,1400,ダ,良,晴,14,3歳六七八(3歳七)
2026-02-19_大井06R_3歳六七八(3歳七),202644021906,1200,ダ,良,晴,14,3歳六七八(3歳七)
2026-02-19_大井07R_B1三B2四(B1B2),202644021907,2000,ダ,良,晴,9,B1三B2四(B1B2)
2026-02-19_大井08R_C2五六七(C2六),202644021908,1600,ダ,良,晴,14,C2五六七(C2六)
2026-02-19_大井09R_C2五六七(C2六),202644021909,1400,ダ,良,晴,13,C2五六七(C2六)
2026-02-19_大井10R_C2五六七(C2六),202644021910,1200,ダ,良,晴,15,C2五六七(C2六)
2026-02-19_大井11R_ゴールデンステッキ賞競走(B3),202644021911,1200,ダ,良,晴,15,ゴールデンステッキ賞競走(B3)
2026-02-19_大井12R_日向坂賞競走(B3),202644021912,1650,ダ,良,晴,13,日向坂賞競走(B3)
2026-02-20_大井01R_3歳四五,202644022001,1200,ダ,良,晴,14,3歳四五
2026-02-20_大井02R_3歳四五,202644022002,1600,ダ,良,晴,12,3歳四五
2026-02-20_大井03R_3歳一二三(3歳二),202644022003,1600,ダ,良,晴,14,3歳一二三(3歳二)
2026-02-20_大井04R_内川賞(3歳二),202644022004,1400,ダ,良,晴,10,内川賞(3歳二)
2026-02-20_大井05R_3歳一二三(3歳二),202644022005,1200,ダ,良,晴,13,3歳一二三(3歳二)
2026-02-20_大井06R_アメジスト賞競走(A2),202644022006,1600,ダ,良,晴,8,アメジスト賞競走(A2)
2026-02-20_大井07R_C2二三四(C2三),202644022007,1600,ダ,良,晴,12,C2二三四(C2三)
2026-02-20_大井08R_C2二三四(C2三),202644022008,1400,ダ,良,晴,13,C2二三四(C2三)
2026-02-20_大井09R_C2二三四(C2三),202644022009,1200,ダ,良,曇,15,C2二三四(C2三)
2026-02-20_大井10R_めぐみ坂賞競走(B3),202644022010,1400,ダ,良,曇,13,めぐみ坂賞競走(B3)
2026-02-20_大井11R_春隣賞競走(B2),202644022011,1400,ダ,良,曇,15,春隣賞競走(B2)
2026-02-20_大井12R_梅見月特別競走(C2),202644022012,2000,ダ,良,曇,16,梅見月特別競走(C2)
2026-03-09_大井01R_C3九,202644030901,1200,ダ,稍,晴,14,C3九
2026-03-09_大井02R_C3七八,202644030902,1600,ダ,稍,晴,13,C3七八
2026-03-09_大井03R_C3七八,202644030903,1200,ダ,稍,晴,15,C3七八
2026-03-09_大井04R_越中島川賞(3歳),202644030904,1400,ダ,稍,晴,9,越中島川賞(3歳)
2026-03-09_大井05R_3歳1314,202644030905,1200,ダ,稍,晴,11,3歳1314
2026-03-09_大井06R_3歳1112,202644030906,1400,ダ,稍,晴,14,3歳1112
2026-03-09_大井07R_3歳1112,202644030907,1200,ダ,稍,晴,10,3歳1112
2026-03-09_大井08R_マーチ賞競走(B1B2),202644030908,1400,ダ,稍,晴,7,マーチ賞競走(B1B2)
2026-03-09_大井09R_C2131415(C214),202644030909,1600,ダ,稍,晴,14,C2131415(C214)
2026-03-09_大井10R_C2131415(C214),202644030910,1400,ダ,稍,晴,13,C2131415(C214)
2026-03-09_大井11R_’26スターバーストカップ競走(3歳),202644030911,2000,ダ,稍,晴,10,’26スターバーストカップ競走(3歳)
2026-03-09_大井12R_C2131415(C214),202644030912,1200,ダ,稍,晴,14,C2131415(C214)
2026-03-10_大井01R_C3五六,202644031001,1600,ダ,稍,雨,14,C3五六
2026-03-10_大井02R_C3五六,202644031002,1200,ダ,稍,雨,14,C3五六
2026-03-10_大井03R_3歳九十,202644031003,1600,ダ,稍,雨,9,3歳九十
2026-03-10_大井04R_立会川賞(C2),202644031004,2400,ダ,稍,曇,14,立会川賞(C2)
2026-03-10_大井05R_3歳九十,202644031005,1200,ダ,稍,曇,14,3歳九十
2026-03-10_大井06R_B2五,202644031006,1400,ダ,稍,曇,6,B2五
2026-03-10_大井07R_C2十1112(C211),202644031007,1600,ダ,稍,晴,12,C2十1112(C211)
2026-03-10_大井08R_C2十1112(C211),202644031008,1400,ダ,稍,晴,10,C2十1112(C211)
2026-03-10_大井09R_C2十1112(C211),202644031009,1200,ダ,稍,晴,14,C2十1112(C211)
2026-03-10_大井10R_虎ノ門特別競走(C1),202644031010,2000,ダ,稍,晴,10,虎ノ門特別競走(C1)
2026-03-10_大井11R_フジノウェーブ記念競走,202644031011,1400,ダ,稍,晴,16,フジノウェーブ記念競走
2026-03-10_大井12R_江戸見坂賞競走(B3),202644031012,1200,ダ,稍,晴,16,江戸見坂賞競走(B3)
2026-03-11_大井01R_C3三四,202644031101,1600,ダ,良,晴,14,C3三四
2026-03-11_大井02R_C3三四,202644031102,1200,ダ,良,晴,12,C3三四
2026-03-11_大井03R_3歳七八,202644031103,1600,ダ,良,晴,12,3歳七八
2026-03-11_大井04R_築地川賞(3歳),202644031104,1200,ダ,良,晴,14,築地川賞(3歳)
2026-03-11_大井05R_C2八九,202644031105,1600,ダ,良,晴,14,C2八九
2026-03-11_大井06R_C2八九,202644031106,1200,ダ,良,晴,12,C2八九
2026-03-11_大井07R_オフト汐留賞競走(A2B1),202644031107,1200,ダ,良,晴,7,オフト汐留賞競走(A2B1)
2026-03-11_大井08R_C1六七八(C1七),202644031108,1600,ダ,良,晴,11,C1六七八(C1七)
2026-03-11_大井09R_C1六七八(C1七),202644031109,1400,ダ,良,晴,11,C1六七八(C1七)
2026-03-11_大井10R_C1六七八(C1七),202644031110,1200,ダ,良,晴,14,C1六七八(C1七)
2026-03-11_大井11R_プリムラ賞競走(B2),202644031111,1200,ダ,良,晴,12,プリムラ賞競走(B2)
2026-03-11_大井12R_御組坂賞競走(B3),202644031112,1400,ダ,良,晴,11,御組坂賞競走(B3)
2026-03-12_大井01R_C3一二,202644031201,1600,ダ,良,晴,13,C3一二
2026-03-12_大井02R_C3一二,202644031202,1200,ダ,良,晴,13,C3一二
2026-03-12_大井03R_3歳四五六(3歳五),202644031203,1600,ダ,良,晴,9,3歳四五六(3歳五)
2026-03-12_大井04R_汐留川賞(3歳五),202644031204,1400,ダ,良,晴,9,汐留川賞(3歳五)
2026-03-12_大井05R_3歳四五六(3歳五),202644031205,1200,ダ,良,晴,12,3歳四五六(3歳五)
2026-03-12_大井06R_B1三B2四(B1B2),202644031206,1600,ダ,良,晴,9,B1三B2四(B1B2)
2026-03-12_大井07R_C2六七,202644031207,1600,ダ,良,晴,11,C2六七
2026-03-12_大井08R_C2六七,202644031208,1200,ダ,良,晴,11,C2六七
2026-03-12_大井09R_アクアマリン賞競走(B2),202644031209,2000,ダ,良,晴,7,アクアマリン賞競走(B2)
2026-03-12_大井10R_四谷見附特別競走(C2),202644031210,1800,ダ,良,晴,16,四谷見附特別競走(C2)
2026-03-12_大井11R_出羽坂賞競走(B3),202644031211,2000,ダ,良,晴,12,出羽坂賞競走(B3)
2026-03-12_大井12R_花月特別競走(C1),202644031212,1650,ダ,良,晴,14,花月特別競走(C1)
2026-03-13_大井01R_3歳一二三(3歳二),202644031301,1600,ダ,良,曇,6,3歳一二三(3歳二)
2026-03-13_大井02R_3歳一二三(3歳二),202644031302,1400,ダ,良,曇,9,3歳一二三(3歳二)
2026-03-13_大井03R_C2選抜牝馬,202644031303,1400,ダ,良,曇,12,C2選抜牝馬
2026-03-13_大井04R_八ツ瀬川賞(C2四),202644031304,1600,ダ,良,曇,13,八ツ瀬川賞(C2四)
2026-03-13_大井05R_C2三四五(C2四),202644031305,1400,ダ,良,曇,14,C2三四五(C2四)
2026-03-13_大井06R_C2三四五(C2四),202644031306,1200,ダ,良,曇,14,C2三四五(C2四)
2026-03-13_大井07R_君子蘭特別競走(3歳二),202644031307,1200,ダ,良,曇,10,君子蘭特別競走(3歳二)
2026-03-13_大井08R_C1三四五(C1四),202644031308,1600,ダ,良,曇,10,C1三四五(C1四)
2026-03-13_大井09R_がんばれ!関東の酪農応援in大井賞(C1四),202644031309,1400,ダ,良,曇,14,がんばれ!関東の酪農応援in大井賞(C1四)
2026-03-13_大井10R_陽春特別競走(C1四),202644031310,1200,ダ,良,曇,13,陽春特別競走(C1四)
2026-03-13_大井11R_ブリリアントカップトライアル競走(A2),202644031311,1800,ダ,良,曇,10,ブリリアントカップトライアル競走(A2)
2026-03-13_大井12R_円通寺坂賞競走(B3),202644031312,1600,ダ,良,曇,9,円通寺坂賞競走(B3)
2026-03-23_大井01R_C3九,202644032301,1200,ダ,良,晴,11,C3九
2026-03-23_大井02R_C3七八,202644032302,1600,ダ,良,晴,14,C3七八
2026-03-23_大井03R_C3七八,202644032303,1200,ダ,良,晴,13,C3七八
2026-03-23_大井04R_3歳1314,202644032304,1400,ダ,良,晴,7,3歳1314
2026-03-23_大井05R_3歳1314,202644032305,1200,ダ,良,晴,14,3歳1314
2026-03-23_大井06R_C21516,202644032306,1600,ダ,良,晴,12,C21516
2026-03-23_大井07R_オフト京王閣賞競走(B1),202644032307,1400,ダ,良,晴,6,オフト京王閣賞競走(B1)
2026-03-23_大井08R_バラライカ賞(C2),202644032308,1600,ダ,良,晴,12,バラライカ賞(C2)
2026-03-23_大井09R_C21516,202644032309,1200,ダ,良,晴,13,C21516
2026-03-23_大井10R_萌黄特別競走(C2),202644032310,1600,ダ,良,晴,9,萌黄特別競走(C2)
2026-03-23_大井11R_けやき坂賞競走(B3),202644032311,1200,ダ,良,晴,13,けやき坂賞競走(B3)
2026-03-23_大井12R_C21314,202644032312,1200,ダ,良,晴,13,C21314
2026-03-24_大井01R_C3五六,202644032401,1600,ダ,良,晴,13,C3五六
2026-03-24_大井02R_C3五六,202644032402,1200,ダ,良,晴,14,C3五六
2026-03-24_大井03R_3歳1112,202644032403,1400,ダ,良,晴,14,3歳1112
2026-03-24_大井04R_3歳1112,202644032404,1200,ダ,良,晴,11,3歳1112
2026-03-24_大井05R_3歳九十,202644032405,1600,ダ,良,晴,9,3歳九十
2026-03-24_大井06R_3歳九十,202644032406,1200,ダ,良,晴,14,3歳九十
2026-03-24_大井07R_C2十1112(C211),202644032407,1600,ダ,良,晴,11,C2十1112(C211)
2026-03-24_大井08R_コモドール賞(C211),202644032408,1400,ダ,良,晴,12,コモドール賞(C211)
2026-03-24_大井09R_C2十1112(C211),202644032409,1200,ダ,良,晴,12,C2十1112(C211)
2026-03-24_大井10R_おおぐま座特別競走(C2),202644032410,2000,ダ,良,晴,14,おおぐま座特別競走(C2)
2026-03-24_大井11R_わかば賞競走(B2),202644032411,1400,ダ,良,晴,16,わかば賞競走(B2)
2026-03-24_大井12R_うみへび座特別競走(C1),202644032412,1800,ダ,良,晴,13,うみへび座特別競走(C1)
2026-03-25_大井01R_C3一,202644032501,1800,ダ,良,雨,10,C3一
2026-03-25_大井02R_3歳七八,202644032502,1600,ダ,良,雨,11,3歳七八
2026-03-25_大井03R_3歳七八,202644032503,1200,ダ,良,雨,14,3歳七八
2026-03-25_大井04R_C2七八九(C2八),202644032504,1600,ダ,良,雨,12,C2七八九(C2八)
2026-03-25_大井05R_C2七八九(C2八),202644032505,1400,ダ,良,雨,11,C2七八九(C2八)
2026-03-25_大井06R_C2七八九(C2八),202644032506,1200,ダ,良,雨,14,C2七八九(C2八)
2026-03-25_大井07R_花嵐賞競走(B1),202644032507,1200,ダ,良,雨,8,花嵐賞競走(B1)
2026-03-25_大井08R_ロイヤル・フィズ賞(C1),202644032508,1600,ダ,良,雨,13,ロイヤル・フィズ賞(C1)
2026-03-25_大井09R_C2三,202644032509,2000,ダ,稍,雨,12,C2三
2026-03-25_大井10R_C1八九,202644032510,1200,ダ,稍,雨,10,C1八九
2026-03-25_大井11R_京浜盃競走,202644032511,1700,ダ,稍,雨,7,京浜盃競走
2026-03-25_大井12R_播磨坂賞競走(B3),202644032512,1400,ダ,稍,雨,13,播磨坂賞競走(B3)
2026-03-26_大井01R_C3二三四(C3三),202644032601,1600,ダ,不,雨,13,C3二三四(C3三)
2026-03-26_大井02R_C3二三四(C3三),202644032602,1400,ダ,不,曇,13,C3二三四(C3三)
2026-03-26_大井03R_C3二三四(C3三),202644032603,1200,ダ,不,曇,14,C3二三四(C3三)
2026-03-26_大井04R_3歳四五六(3歳五),202644032604,1600,ダ,不,曇,9,3歳四五六(3歳五)
